id_hex,type,status,n_refs,access_kinds,category,top_functions,levels
0x022e3442,sprite,uncracked,2,setspr:2,Boss,CollectibleDestroyState | InitKloggChaseState,WIZZ
0x0239cb33,sprite,uncracked,2,setspr:2,Boss,JoeHeadJoeBallRegularInitState | JoeHeadJoeBallStartRolling,HEAD
0x0244655d,sprite,uncracked,4,init:3;other:1,Boss,EntitySetReadyFlag | InitBackgroundSparkleEntity | InitMonkeyMageBoss,WIZZ
0x06101db0,sprite,uncracked,3,init:2;other:1,Boss,InitBonusItemEntity | ShrineyGuardDeathCallback | InitJoeHeadJoeBoss,HEAD
0x069580a0,sprite,uncracked,2,other:1;setspr:1,Boss,ProjectileTickWithCollision | JoeHeadJoeBallFallCallback,RUNN
0x08192250,sprite,uncracked,2,setspr:2,Boss,ShrineyGuardAttackAnimState | ShrineyGuardReadyAttackState,MEGA
0x083488e2,sprite,uncracked,3,other:3,Boss,KloggSpawnProjectilesCallback | KloggMoveToTargetPosition,KLOG
0x085860d4,sprite,uncracked,2,setspr:2,Boss,ShrineyGuardIdleState | ShrineyGuardAttackAnimState,MEGA
0x086e44c0,audio,uncracked,2,other:2,Boss,InitBonusClayballEntity | ShrineyGuardSoundUpdateTick,EVIL
0x08b9135c,sprite,uncracked,2,other:2,Boss,GlennYntisDamageEventHandler,GLEN
0x08ba0250,sprite,uncracked,2,other:2,Boss,GlennYntisDamageEventHandler,GLEN
0x09382152,sprite,uncracked,2,setspr:2,Boss,ShrineyGuardSetLoopingAttackState | ShrineyGuardIdleState,MEGA
0x0a1820d4,sprite,uncracked,2,other:1;setspr:1,Boss,ShrineyGuardStartLoopAttackState | ShrineyGuardDeathState,MEGA
0x0b0811bb,sprite,uncracked,2,setspr:2,Boss,JoeHeadJoeReturnToIdleState | JoeHeadJoeReturnToIdleStateAlt,HEAD
0x0b081dbb,sprite,uncracked,3,setspr:2;other:1,Boss,JoeHeadJoeReturnToIdleState | JoeHeadJoeClearVoiceAlt,HEAD
0x0b290ba2,sprite,uncracked,4,setspr:3;other:1,Boss,JoeHeadJoeCheckPlayerInAttackRange | JoeHeadJoeSetIdleState | JoeHeadJoeEnterActiveState,HEAD
0x0c3082c3,audio,uncracked,2,other:2,Boss,KloggUpdateWithTimer | EnemyHitMessageHandler,KLOG
0x0c34aa22,sprite,uncracked,6,other:4;init:2,Boss,KloggSpawnProjectilesCallback | JoeHeadJoeApplyGravity | KloggMoveToTargetPosition,KLOG
0x0c78005c,sprite,uncracked,2,setspr:2,Boss,GlennYntisAnimStateC | GlennYntisDefeatedState,GLEN
0x0e3889be,sprite,uncracked,2,token:1;setspr:1,Boss,JoeHeadJoeEnterActiveState | JoeHeadJoeMoveAndCheckAttack,HEAD
0x11eac4c0,audio,uncracked,2,other:2,Boss,InitBonusClayballEntity | ShrineyGuardSoundUpdateTick,EVIL
0x146ce002,audio,uncracked,6,token:6,Boss,PlayerCallback_DeathDebrisSpawner | RunnRender_AnimOffsetWithSlide | RunnEvent_CutsceneDebrisAndLevel,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;
0x181c3854,sprite,uncracked,3,other:3,Boss,GliderStateInit_ResetAtSpawn | InitMonkeyMageBoss | InitBonusItemEntity,WIZZ
0x18e88310,sprite,uncracked,2,other:2,Boss,GlennYntisDamageEventHandler | GlennYntisDeathEventHandler,GLEN
0x18e88510,sprite,uncracked,2,other:2,Boss,GlennYntisDamageEventHandler | GlennYntisDeathEventHandler,GLEN
0x18e88910,sprite,uncracked,2,other:2,Boss,GlennYntisDamageEventHandler | GlennYntisDeathEventHandler,GLEN
0x18e8c704,sprite,uncracked,2,other:2,Boss,GlennYntisDamageEventHandler | GlennYntisDeathEventHandler,GLEN
0x193ca112,sprite,uncracked,4,other:2;setspr:2,Boss,KloggSetMoveState | KloggSpawnProjectilesCallback | EnemyIdleTimerState,KLOG
0x1a2c8516,sprite,uncracked,2,other:1;setspr:1,Boss,KloggMoveToTargetPosition | KloggSpawnProjectilesCallback,KLOG
0x1a3109b2,sprite,uncracked,2,setspr:2,Boss,JoeHeadJoeSetFacingAndAttack | JoeHeadJoeEnterActiveState,HEAD
0x204e44c0,audio,uncracked,2,other:2,Boss,InitBonusClayballEntity | ShrineyGuardSoundUpdateTick,EVIL
0x205e40c2,audio,uncracked,3,other:3,Boss,ShrineyGuardSoundUpdateTick | InitBonusClayballEntity,EVIL
0x222cb0e2,audio,uncracked,3,other:3,Boss,ClayballIndicatorState_Wait | ShrineyGuardDeactivateWithSound,BOIL;CAVE;CLOU;CRYS;CSTL;EGGS;
0x2b3889b2,sprite,uncracked,2,setspr:2,Boss,JoeHeadJoeReturnToIdleStateAlt | JoeHeadJoeDeathAnimState,HEAD
0x2b79835d,sprite,uncracked,3,setspr:2;other:1,Boss,GlennYntisSelectRandomAnimState | GlennYntisIdleAnimState | GlennYntisAnimStateB,GLEN
0x2c182010,sprite,uncracked,2,setspr:2,Boss,ShrineyGuardReadyAttackState | ShrineyGuardStartLoopAttackState,MEGA
0x2d688254,sprite,uncracked,2,setspr:2,Boss,GlennYntisSelectRandomAnimState | GlennYntisIdleAnimState,GLEN
0x323ac9be,sprite,uncracked,3,setspr:2;other:1,Boss,JoeHeadJoeBallStopSound | JoeHeadJoeState_EnterCollisionState,HEAD
0x34014841,audio,uncracked,3,other:3,Boss,ProjectileTickWithCollision | JoeHeadJoeBallFallCallback,KLOG;RUNN
0x3a3a49b2,sprite,uncracked,2,other:1;setspr:1,Boss,JoeHeadJoeEventHandler | JoeHeadJoeBallRegularInitState,HEAD
0x3d348056,sprite,uncracked,7,other:7,Boss,PlayerProcessTileCollision | SpawnSwirlPortalEntity | PlayerCallback_DeathDebrisSpawner,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;
0x40106054,sprite,uncracked,3,setspr:2;other:1,Boss,ShrineyGuardAttackCounterState | ShrineyGuardSetAttackState | ShrineyGuardSetLoopingAttackState,MEGA
0x42464cc8,audio,uncracked,2,other:2,Boss,PathFollowerApplyFallVelocity | ShrineyGuardEventHandler,CRYS;CSTL;PHRO;SNOW
0x424d1840,sprite,uncracked,2,other:1;setspr:1,Boss,BossState_SpawnDeathParticle | BossState_DefeatedWithParticles,WIZZ
0x42906465,audio,uncracked,7,other:4;sound:3,Boss,PasswordDigitSelectInactive | InitHamsterShieldCollectible | CollectibleHamsterShieldTickCallback,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;
0x486492c4,audio,uncracked,2,other:2,Boss,KloggDeathCallback | InitKloggBoss,KLOG
0x48d81135,sprite,uncracked,3,other:2;init:1,Boss,InitBonusItemEntity | BossHPBarTickCallback | InitGlennYntisBoss,GLEN
0x48f843d4,sprite,uncracked,3,other:3,Boss,GlennYntisDamageEventHandler,GLEN
0x4c106054,sprite,uncracked,2,setspr:2,Boss,ShrineyGuardAttackCounterState | ShrineyGuardSetAttackState,MEGA
0x603588e8,audio,verified,4,other:3;setspr:1,Boss,JoeHeadJoeCheckPlayerInAttackRange | JoeHeadJoeSetIdleState | JoeHeadJoeEnterActiveState,HEAD
0x60de1050,sprite,uncracked,2,other:1;setspr:1,Boss,InitKloggChaseState | BossState_SpawnDeathParticle,WIZZ
0x657c322c,sprite,uncracked,4,other:2;setspr:2,Boss,BounceClay_IdleState | BounceClay_DestroyingState | JoeHeadJoeState_IdleAfterCollision,CSTL;FOOD;HEAD;MOSS;PHRO;SNOW
0x69588258,sprite,uncracked,3,setspr:2;other:1,Boss,GlennYntisSelectRandomAnimState | GlennYntisAnimStateB | GlennYntisAnimStateC,GLEN
0x70a09ce1,audio,uncracked,2,other:2,Boss,JoeHeadJoeBallRegularInitState | JoeHeadJoeBallStartRolling,HEAD
0x7a318245,audio,uncracked,2,other:2,Boss,GlennYntisDeathEventHandler | HazardActivateWithSound,GLEN
0x800da102,sprite,uncracked,2,other:2,Boss,EntityCollision_EnemyHitWithCallback | KloggDeathEventHandler,KLOG
0x800da116,sprite,uncracked,2,other:2,Boss,EntityCollision_EnemyHitWithCallback | KloggDeathEventHandler,KLOG
0x800da11a,sprite,uncracked,2,other:2,Boss,EntityCollision_EnemyHitWithCallback | KloggDeathEventHandler,KLOG
