id_hex,type,floor,n_levels,levels,code_refs,func_family,nn_dist,nn_id
0x0005c699,sprite,11,1,MENU,1,,8,0x000cc8f8
0x000ac607,sprite,12,20,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FINN;FOOD;GLID;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED,1,,7,0x0408c01e
0x000cc8f8,sprite,13,2,FOOD;TMPL,1,8,6,0x410808f9
0x001822d8,audio,13,11,BRG1;CAVE;CRYS;CSTL;EGGS;EVIL;FOOD;MEGA;PHRO;SCIE;TMPL,0,,4,0x08192250
0x001882e0,audio,14,11,BOIL;CAVE;EGGS;EVIL;FOOD;HEAD;MEGA;PHRO;SCIE;SNOW;TMPL,0,,5,0x001822d8
0x00248e52,audio,14,21,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,3,,4,0x012484d2
0x002e2414,sprite,13,1,FOOD,1,,6,0x00ce0610
0x00388110,sprite,11,21,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,4,2,4,0x08188300
0x004a981c,sprite,12,3,BOIL;CLOU;MOSS,0,,2,0x024e981c
0x004c9138,sprite,12,3,CLOU;CRYS;SOAR,0,,3,0x40489938
0x006b9a6f,sprite,18,2,FOOD;SNOW,2,11,6,0xa0299a4d
0x00880c1e,audio,13,1,MENU,3,,6,0x0408c01e
0x00ce0610,sprite,11,4,CSTL;FOOD;SEVN;TMPL,0,,2,0x09ce0610
0x00e2f188,sprite,10,26,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FINN;FOOD;GLEN;GLID;HEAD;KLOG;MEGA;MENU;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,15,,7,0x08624580
0x00e49240,audio,11,22,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,0,,5,0x40e0824c
0x0120e27a,audio,12,2,BRG1;SOAR,0,,6,0x0538a2ea
0x012484d2,audio,14,2,BRG1;SOAR,0,,4,0x00248e52
0x01680261,audio,13,1,KLOG,0,,6,0x40400270
