function,file,n_ids,ids,n_intra_cluster_edges,top_cluster_classes,first_examples
EntityTick_ShadowMirror,export/SLES_010.90.c,12,0x052aa082;0x0538a2ea;0x0628a800;0x0708a4a0;0x112ae088;0x2524e089;0x8139a088;0x8524a880;0x8569a090;0x9629a000;0xa628e009;0xd70880a4,66,0x0002404d(6);0x0c488923(2);0x002020c3(2);0x01810441(1);0x01110211(1);0x00100285(1),0x0708a4a0: if (uVar8 == 0x708a4a0) { || 0xd70880a4: nSpriteId = 0xd70880a4; || 0x052aa082: if (uVar8 == 0x52aa082) {
CreateMenuEntities,export/SLES_010.90.c,8,0x00e2f188;0x80e85ea0;0x88a28194;0x902c0002;0x9158a0f6;0xa9240484;0xb8700ca1;0xe8628689,28,0x00155e51(1);0x01c07221(1);0x0cef18a9(1);0x17e91ba5(1);0x0ca9c6f5(1);0x125fa537(1),"0xb8700ca1: InitEntitySprite(pSVar4,0xb8700ca1,10000,0x18,-0x20,'\x01'); || 0x00e2f188: InitEntitySprite(pSVar4,0xe2f188,10000,0x25,-0x20,'\x01'); || 0x00e2f188: InitEntitySprite(pSVar4,0xe2f188,10000,0x31,-0x20,'\x01');"
ToggleMenuOptionState,export/SLES_010.90.c,7,0x0ad0f813;0x29c0e211;0x2ad0f011;0x68c0f413;0x69c04050;0x69c8f473;0x90810000,21,0x0111880d(1);0x00004011(1);0x00188403(1);0x086c6217(1);0x018c0c63(1);0x02734a3f(1),"0x90810000: PlaySoundEffect(0x90810000,0xa0,'\x01'); || 0x69c8f473: SetEntitySpriteId(*(SpriteEntity **)(menuParent + 0x94),0x69c8f473,1); || 0x2ad0f011: SetEntitySpriteId(*(SpriteEntity **)(menuParent + 0x98),0x2ad0f011,1);"
InitMenuStage1,export/SLES_010.90.c,7,0x10094096;0x3080820d;0x3080840d;0x30808e0d;0x38a0c119;0x40b18011;0x68c01218,21,0x00000003(2);0x044e14d9(1);0x044e24d9(1);0x044e74d9(1);0x031e5153(1);0x021d42e3(1),"0x68c01218: pEVar8 = InitEntitySprite(pSVar7,0x68c01218,2000,0xa0,0xa8,'\0'); || 0x3080840d: pEVar8 = InitEntitySprite(pSVar7,0x3080840d,2000,0xa0,0xa8,'\0'); || 0x3080820d: pEVar8 = InitEntitySprite(pSVar7,0x3080820d,2000,0xa0,0xa8,'\0');"
KloggDeathEventHandler,export/SLES_010.90.c,6,0x800da102;0x800da116;0x800da11a;0x800da132;0x800da152;0x888da193,15,0x00000003(4);0x00000005(3);0x00000009(2);0x00012211(1);0x00000011(1);0x00010a11(1),"0x800da116: (pEVar3,0x800da116,pEntity->worldX,pEntity->worldY,pEntity->scaleRender,0x10000, || 0x888da193: InitParticleEntity(pEVar3,0x888da193,uVar1,pEntity->facing,pEntity->scaleRender, || 0x800da11a: (pEVar3,0x800da11a,worldX,worldY,(int)pEVar4,0x7fffffff,0x7fffffff,0x7fffffff);"
ClayballState_DestroyWithDebris,export/SLES_010.90.c,5,0x462c6040;0x46346040;0x46386040;0x463e6040;0xd6bc2450,10,0x00000003(3);0x00000005(2);0x00000009(1);0x04242411(1);0x04242211(1);0x04242111(1),"0xd6bc2450: InitParticleEntity(pEVar2,0xd6bc2450,local_58,pEntity->facing,pEntity->scaleRend || 0x463e6040: (pEVar2,0x463e6040, || 0x46386040: (pEVar2,0x46386040,"
PlayerCallback_DeathDebrisSpawner,export/SLES_010.90.c,5,0x146ce002;0x3d348056;0xb468d0c6;0xb868d0c6;0xbe68d0c6,10,0x00000003(2);0x02a14ac3(1);0x00218625(1);0x010c312b(1);0x02186255(1);0x0895c509(1),"0x146ce002: if (in_a2 == 0x146ce002) { || 0xbe68d0c6: (pEVar7,0xbe68d0c6,player->worldX,player->worldY + -0x32,(int)pEVar8,0x7fffffff, || 0xb868d0c6: (pEVar7,0xb868d0c6,player->worldX,player->worldY + -0x32,(int)pEVar8,0x7fffffff,"
RunnEvent_CutsceneDebrisAndLevel,export/SLES_010.90.c,5,0x146ce002;0x3d348056;0xb468d0c6;0xb868d0c6;0xbe68d0c6,10,0x00000003(2);0x02a14ac3(1);0x00218625(1);0x010c312b(1);0x02186255(1);0x0895c509(1),"0x146ce002: if (spriteId == 0x146ce002) { || 0xbe68d0c6: (pEVar3,0xbe68d0c6,sVar7,sVar9,(int)pEVar4,0x7fffffff,0x7fffffff,0x7fffffff); || 0xb868d0c6: (pEVar3,0xb868d0c6,sVar7,sVar9,(int)pEVar4,0x7fffffff,0x7fffffff,0x7fffffff);"
BossCollision_SpawnDebrisAndLayers,export/SLES_010.90.c,5,0x146ce002;0x3d348056;0xb468d0c6;0xb868d0c6;0xbe68d0c6,10,0x00000003(2);0x02a14ac3(1);0x00218625(1);0x010c312b(1);0x02186255(1);0x0895c509(1),"0x146ce002: if (sourceCode == 0x146ce002) { || 0xbe68d0c6: (pEVar2,0xbe68d0c6,*(short *)(entity + 0x68),*(short *)(entity + 0x6a) + -0x1e, || 0xb868d0c6: (pEVar2,0xb868d0c6,*(short *)(entity + 0x68),*(short *)(entity + 0x6a) + -0x1e,"
FinnDamageEventHandler,export/SLES_010.90.c,5,0x146ce002;0x2e809804;0x2e811804;0x2e839804;0x3d348056,10,0x00000003(2);0x00c75d8f(1);0x00c75dbf(1);0x00c75def(1);0x02a14ac3(1);0x061484ed(1),"0x146ce002: if (in_a2 == 0x146ce002) { || 0x2e811804: (pEVar2,0x2e811804,*(short *)(in_a0 + 0x68),*(short *)(in_a0 + 0x6a) + -0x1e, || 0x2e809804: (pEVar2,0x2e809804,*(short *)(in_a0 + 0x68),*(short *)(in_a0 + 0x6a) + -0x1e,"
PlaySoundEffect,export/SLES_010.90.c,5,0x00248e52;0x246166fa;0x44d4c8d8;0x5860c640;0x70d006d8,10,0x0488bd15(1);0x0468a44f(1);0x024b0889(1);0x0f4888a7(1);0x05ad7113(1);0x00682e9f(1),0x44d4c8d8: if (param_1 == 0x44d4c8d8) { || 0x00248e52: if (param_1 == 0x248e52) { || 0x246166fa: if (param_1 == 0x246166fa) {
Callback_800570a4,disks/SLES_010.90.c,5,0x462c6040;0x46346040;0x46386040;0x463e6040;0xd6bc2450,10,0x00000003(3);0x00000005(2);0x00000009(1);0x04242411(1);0x04242211(1);0x04242111(1),"0xd6bc2450: iVar2 = InitParticleEntity(puVar1,0xd6bc2450,local_58,*(undefined1 *)(param_1 +  || 0x463e6040: (puVar1,0x463e6040,*(short *)(param_1 + 0x1a) + *(short *)(param_1 + 0x4b), || 0x46386040: (puVar1,0x46386040,*(short *)(param_1 + 0x1a) + *(short *)(param_1 + 0x4b),"
PlayerCallback_8005cce0,disks/SLES_010.90.c,5,0x4260c8b5;0x54608016;0x5838cc16;0x91a9d01d;0xd167c005,10,0x0024518b(1);0x0094634b(1);0x151a7923(1);0x0708b093(1);0x00031613(1);0x00bc5c95(1),"0x54608016: SpawnPlayerColoredParticle(param_1,0x54608016); || 0x4260c8b5: SpawnPlayerColoredParticle(param_1,0x4260c8b5); || 0xd167c005: uVar3 = 0xd167c005;"
PlayerCallback_8005d404,disks/SLES_010.90.c,5,0x146ce002;0x3d348056;0xb468d0c6;0xb868d0c6;0xbe68d0c6,10,0x00000003(2);0x02a14ac3(1);0x00218625(1);0x010c312b(1);0x02186255(1);0x0895c509(1),"0x146ce002: if (param_3 == 0x146ce002) { || 0xbe68d0c6: (puVar8,0xbe68d0c6,*(undefined2 *)(param_1 + 0x68), || 0xb868d0c6: (puVar8,0xb868d0c6,*(undefined2 *)(param_1 + 0x68),"
EntityInitCallback_80070850,disks/SLES_010.90.c,5,0x146ce002;0x3d348056;0xb468d0c6;0xb868d0c6;0xbe68d0c6,10,0x00000003(2);0x02a14ac3(1);0x00218625(1);0x010c312b(1);0x02186255(1);0x0895c509(1),"0x146ce002: if (param_3 == 0x146ce002) { || 0xbe68d0c6: (puVar3,0xbe68d0c6,uVar5,uVar7,*(int *)(param_1 + 0x50),0x7fffffff, || 0xb868d0c6: (puVar3,0xb868d0c6,uVar5,uVar7,*(int *)(param_1 + 0x50),0x7fffffff,"
SpawnCollectibleParticles,export/SLES_010.90.c,4,0x5a89815f;0x5ab9815f;0x5ad9815f;0x98004092,6,0x00000003(2);0x00000005(1);0x07370a27(1);0x07370ae7(1);0x07370b67(1),"0x98004092: InitParticleEntity(pEVar4,0x98004092,local_40,entity->facing,entity->scaleRender || 0x5a89815f: (pEVar4,0x5a89815f,worldX,worldY,(int)pEVar7,0x7fffffff,0x7fffffff,0x7fffffff); || 0x5ab9815f: (pEVar4,0x5ab9815f,worldX,worldY,(int)pEVar7,0x7fffffff,0x7fffffff,0x7fffffff);"
GlennYntisDeathEventHandler,export/SLES_010.90.c,4,0x18e88310;0x18e88510;0x18e88910;0x18e8c704,6,0x00000003(2);0x00000005(1);0x00001105(1);0x00001085(1);0x00001385(1),"0x18e8c704: (pEVar3,0x18e8c704,pEntity->worldX,pEntity->worldY + -0xa0,pEntity->scaleRender, || 0x18e88310: (pEVar3,0x18e88310,worldX,worldY,(int)pEVar4,0x7fffffff,0x7fffffff,0x7fffffff); || 0x18e88510: (pEVar3,0x18e88510,worldX,worldY,(int)pEVar4,0x7fffffff,0x7fffffff,0x7fffffff);"
JoeHeadJoeMoveAndCheckAttack,export/SLES_010.90.c,4,0x0b290ba2;0x0e3889be;0x603588e8;0xf2810224,6,0x01446087(1);0x0694d639(1);0x0130df35(1);0x01566e0d(1);0x1735f973(1);0x15992569(1),"0x0e3889be: SetEntitySpriteId(pEntity,0xe3889be,1); || 0xf2810224: pEVar3 = (EntityCallbackTableBase *)PlayEntityPositionSound((Entity *)pEntity,0x || 0x0b290ba2: SetEntitySpriteId(pEntity,0xb290ba2,1);"
