id_hex,function,file,line_no,context
0x21842018,InitPlayerEntity,export/SLES_010.90.c,15965,"AllocSpriteRenderContext((int)entity,10000,0x21842018);"
0x21842018,InitPlayerEntity,export/SLES_010.90.c,15972,"SetEntitySpriteId((SpriteEntity *)entity,0x21842018,1);"
0x428254e2,AddPlayerOrbs,export/SLES_010.90.c,22428,"PlaySoundEffect(0x428254e2,0xa0,'\0');"
0x8c510186,InitEntity_8c510186,export/SLES_010.90.c,23959,"InitEntitySprite((SpriteEntity *)entity,0x8c510186,10000,0x18,y,'\0');"
0x6a351094,InitTimerDisplayEntity,export/SLES_010.90.c,24080,"InitEntitySprite((SpriteEntity *)param_1,0x6a351094,10000,0x120,y,'\0');"
0xb8700ca1,CreateMenuEntities,export/SLES_010.90.c,24387,"InitEntitySprite(pSVar4,0xb8700ca1,10000,0x18,-0x20,'\x01');"
0x00e2f188,CreateMenuEntities,export/SLES_010.90.c,24413,"InitEntitySprite(pSVar4,0xe2f188,10000,0x25,-0x20,'\x01');"
0x00e2f188,CreateMenuEntities,export/SLES_010.90.c,24448,"InitEntitySprite(pSVar4,0xe2f188,10000,0x31,-0x20,'\x01');"
0xa9240484,CreateMenuEntities,export/SLES_010.90.c,24482,"InitEntitySprite(pSVar4,0xa9240484,10000,0x118,-0x20,'\x01');"
0x00e2f188,CreateMenuEntities,export/SLES_010.90.c,24504,"InitEntitySprite(pSVar4,0xe2f188,10000,0xff,-0x20,'\x01');"
0x00e2f188,CreateMenuEntities,export/SLES_010.90.c,24539,"InitEntitySprite(pSVar4,0xe2f188,10000,0x10b,-0x20,'\x01');"
0xe8628689,CreateMenuEntities,export/SLES_010.90.c,24574,"InitEntitySprite(pSVar4,0xe8628689,10000,0x98,-0x20,'\x01');"
0x00e2f188,CreateMenuEntities,export/SLES_010.90.c,24600,"InitEntitySprite(pSVar4,0xe2f188,10000,0x92,-0x20,'\x01');"
0x00e2f188,CreateMenuEntities,export/SLES_010.90.c,24635,"InitEntitySprite(pSVar4,0xe2f188,10000,0x9e,-0x20,'\x01');"
0x88a28194,CreateMenuEntities,export/SLES_010.90.c,24672,"InitEntitySprite(pSVar4,0x88a28194,10000,0x60,-0x20,'\x01');"
0x80e85ea0,CreateMenuEntities,export/SLES_010.90.c,24706,"InitEntitySprite(pSVar4,0x80e85ea0,10000,0xd0,-0x20,'\x01');"
0x9158a0f6,CreateMenuEntities,export/SLES_010.90.c,24741,"InitEntitySprite(pSVar4,0x9158a0f6,10000,0x18,sVar10,'\x01');"
0x00e2f188,CreateMenuEntities,export/SLES_010.90.c,24766,"InitEntitySprite(pSVar4,0xe2f188,10000,0x25,sVar10,'\x01');"
0x00e2f188,CreateMenuEntities,export/SLES_010.90.c,24801,"InitEntitySprite(pSVar4,0xe2f188,10000,0x31,sVar10,'\x01');"
0xa9240484,CreateMenuEntities,export/SLES_010.90.c,24839,"InitEntitySprite(pSVar4,0xa9240484,10000,0xe,sVar10,'\x01');"
0x00e2f188,CreateMenuEntities,export/SLES_010.90.c,24870,"InitEntitySprite(pSVar4,0xe2f188,10000,0x25,sVar10,'\x01');"
0x00e2f188,CreateMenuEntities,export/SLES_010.90.c,24905,"InitEntitySprite(pSVar4,0xe2f188,10000,0x31,sVar10,'\x01');"
0x00e2f188,CreateMenuEntities,export/SLES_010.90.c,24944,"InitEntitySprite(pSVar4,0xe2f188,10000,0xff,sVar10,'\x01');"
0x00e2f188,CreateMenuEntities,export/SLES_010.90.c,24979,"InitEntitySprite(pSVar4,0xe2f188,10000,0x10b,sVar10,'\x01');"
0x902c0002,CreateMenuEntities,export/SLES_010.90.c,25013,"InitEntitySprite(pSVar4,0x902c0002,10000,0x118,sVar10,'\x01');"
0x00e2f188,CreateMenuEntities,export/SLES_010.90.c,25036,"InitEntitySprite(pSVar4,0xe2f188,10000,0xff,sVar10,'\x01');"
0x00e2f188,CreateMenuEntities,export/SLES_010.90.c,25071,"InitEntitySprite(pSVar4,0xe2f188,10000,0x10b,sVar10,'\x01');"
0x646c2cc0,ToggleMenuSelectionHighlight,export/SLES_010.90.c,26000,"PlaySoundEffect(0x646c2cc0,0xa0,'\x01');"
0x90810000,ToggleMenuOptionState,export/SLES_010.90.c,26050,"PlaySoundEffect(0x90810000,0xa0,'\x01');"
0x69c8f473,ToggleMenuOptionState,export/SLES_010.90.c,26057,"SetEntitySpriteId(*(SpriteEntity **)(menuParent + 0x94),0x69c8f473,1);"
0x2ad0f011,ToggleMenuOptionState,export/SLES_010.90.c,26058,"SetEntitySpriteId(*(SpriteEntity **)(menuParent + 0x98),0x2ad0f011,1);"
0x29c0e211,ToggleMenuOptionState,export/SLES_010.90.c,26059,"SetEntitySpriteId(*(SpriteEntity **)(menuParent + 0x9c),0x29c0e211,1);"
0x0ad0f813,ToggleMenuOptionState,export/SLES_010.90.c,26074,"SetEntitySpriteId(*(SpriteEntity **)(menuParent + 0x94),0xad0f813,1);"
0x69c04050,ToggleMenuOptionState,export/SLES_010.90.c,26075,"SetEntitySpriteId(*(SpriteEntity **)(menuParent + 0x98),0x69c04050,1);"
0x68c0f413,ToggleMenuOptionState,export/SLES_010.90.c,26076,"SetEntitySpriteId(*(SpriteEntity **)(menuParent + 0x9c),0x68c0f413,1);"
0xe8628689,InitGreenBulletsCollectible,export/SLES_010.90.c,27394,"InitEntitySprite((SpriteEntity *)entity,0xe8628689,0x3de,spawn_data[4],spawn_data[5],'\x01');"
0x02847462,DecorEntity_CollectWithSwirlyEffect,export/SLES_010.90.c,27445,"PlayEntityPositionSound(entity,0x2847462);"
0xb8700ca1,InitDecorEntityWithHUDIcon,export/SLES_010.90.c,27489,"InitEntitySprite((SpriteEntity *)entity,0xb8700ca1,0x3de,spawn[4],spawn[5],'\x01');"
0xc87ca082,InitYellowBirdCollectible,export/SLES_010.90.c,27736,"InitEntitySprite((SpriteEntity *)entity,0xc87ca082,0x3de,spawn[4],spawn[5],'\0');"
0x6082c120,CollectibleYellowBirdTickCallback,export/SLES_010.90.c,27804,"PlayEntityPositionSound(entity,0x6082c120);"
0xb8700ca1,InitClayballWithRandomColor,export/SLES_010.90.c,27844,"InitEntitySprite((SpriteEntity *)entity,0xb8700ca1,0x3de,spawn[4],spawn[5],'\x01');"
0x4a806042,CollectibleClaySingleTickCallback,export/SLES_010.90.c,27931,"PlayEntityPositionSound(entity,0x4a806042);"
0x09406d8a,DecorSetSpriteIdle,export/SLES_010.90.c,28286,"SetEntitySpriteId((SpriteEntity *)entity,0x9406d8a,1);"
0xa9240484,InitTransparentDecorEntity,export/SLES_010.90.c,28431,"InitEntitySprite((SpriteEntity *)entity,0xa9240484,0x3de,spawnData[4],spawnData[5],'\x01');"
0x428254e2,CollectibleExtraLifeTickCallback,export/SLES_010.90.c,28480,"PlayEntityPositionSound(entity,0x428254e2);"
0x9158a0f6,InitPhoenixHandCollectible,export/SLES_010.90.c,28514,"InitEntitySprite((SpriteEntity *)entity,0x9158a0f6,0x3de,spawnData[4],spawnData[5],'\x01');"
0x44c26454,CollectiblePhoenixHandTickCallback,export/SLES_010.90.c,28562,"PlayEntityPositionSound(entity,0x44c26454);"
0x8c510186,InitPhartHeadCollectible,export/SLES_010.90.c,28589,"InitEntitySprite((SpriteEntity *)param_1,0x8c510186,0x3de,param_2[4],param_2[5],'\0');"
0xa9240484,InitPhartHeadCollectible,export/SLES_010.90.c,28607,"InitEntitySprite(entity,0xa9240484,0x3de,spawn_data[4],spawn_data[5],'\0');"
0xc0034658,CollectiblePhartHeadTickCallback,export/SLES_010.90.c,28703,"PlayEntityPositionSound(entity,0xc0034658);"
0x6a351094,InitUniverseEnemaCollectible,export/SLES_010.90.c,28766,"InitEntitySprite((SpriteEntity *)entity,0x6a351094,0x3de,spawn[4],spawn[5],'\0');"
0xc88a346a,CollectibleUniverseEnemaTickCallback,export/SLES_010.90.c,28836,"PlayEntityPositionSound(param_1,0xc88a346a);"
0x08624580,InitSingleFrameDecorEntity,export/SLES_010.90.c,28895,"InitEntitySprite((SpriteEntity *)entity,0x8624580,0x3de,spawn[4],spawn[5],'\0');"
0x62000441,TriggerCollectible100CTickCallback,export/SLES_010.90.c,28983,"PlayEntityPositionSound((Entity *)pEntity,0x62000441);"
0x8c30008c,InitScaleResetCollectible,export/SLES_010.90.c,29041,"InitEntitySprite((SpriteEntity *)entity,0x8c30008c,0x3de,spawn[4],spawn[5],'\0');"
0x40864668,ScaleResetCollectibleTickCallback,export/SLES_010.90.c,29126,"PlayEntityPositionSound(entity,0x40864668);"
0x88a28194,Init1970IconEntity,export/SLES_010.90.c,29189,"InitEntitySprite((SpriteEntity *)entity,0x88a28194,0x3de,spawn[4],spawn[5],'\x01');"
0x408a6461,Collectible1970IconTickCallback,export/SLES_010.90.c,29261,uVar2 = 0x408a6461;
0x428a6465,Collectible1970IconTickCallback,export/SLES_010.90.c,29263,uVar2 = 0x428a6465;
0x80e85ea0,InitHamsterShieldCollectible,export/SLES_010.90.c,29326,"InitEntitySprite((SpriteEntity *)entity,0x80e85ea0,0x3de,spawn[4],spawn[5],'\x01');"
0x42906465,CollectibleHamsterShieldTickCallback,export/SLES_010.90.c,29378,uVar1 = 0x42906465;
0xc2906565,CollectibleHamsterShieldTickCallback,export/SLES_010.90.c,29380,uVar1 = 0xc2906565;
0x902c0002,InitSuperWillieCollectible,export/SLES_010.90.c,29435,"InitEntitySprite((SpriteEntity *)entity,0x902c0002,0x3de,spawn[4],spawn[5],'\x01');"
0xe48744c4,CollectibleSuperWillieTickCallback,export/SLES_010.90.c,29480,"PlayEntityPositionSound(entity,0xe48744c4);"
0x4a806042,DecorCollisionTickWithSpawnAndSound,export/SLES_010.90.c,29618,"PlayEntityPositionSound(entity,0x4a806042);"
0x093080c8,DecorStartWithRandomTimer,export/SLES_010.90.c,29682,"SetEntitySpriteId((SpriteEntity *)entity,0x93080c8,1);"
0x40023e30,DecorPlaySoundAndAnimate,export/SLES_010.90.c,29922,"PlayEntityPositionSound(entity,0x40023e30);"
0xfa100225,InitEntityType0x3DE,export/SLES_010.90.c,30116,"InitEntitySprite((SpriteEntity *)entity,0xfa100225,0x3de,in_a1,in_a2,'\0');"
0x28ce0610,InitPasswordEntity,export/SLES_010.90.c,31917,"InitEntitySprite((SpriteEntity *)param_1,0x28ce0610,700,*(short *)(param_2 + 8),"
0x168254b5,InitEntity_168254b5,export/SLES_010.90.c,34244,"InitEntitySprite((SpriteEntity *)entity,0x168254b5,0x3bf,in_a2,in_a3,'\x01');"
0x6a351094,InitScalableTimerEntity,export/SLES_010.90.c,36885,"InitEntitySprite((SpriteEntity *)param_1,0x6a351094,2000,x,y,'\0');"
0x0a921e2c,InitLoadingScreenEntity,export/SLES_010.90.c,37346,"InitEntitySprite((SpriteEntity *)param_1,0xa921e2c,2000,x,y,'\0');"
0x2cda4604,CollectibleTickFinnMode,export/SLES_010.90.c,40573,"InitParticleEntity(pEVar5,0x2cda4604,local_40,*(undefined1 *)(collectible + 0x74),"
0x98004092,SpawnCollectibleParticles,export/SLES_010.90.c,40753,"InitParticleEntity(pEVar4,0x98004092,local_40,entity->facing,entity->scaleRender,0x3d4,0)"
0x5a89815f,SpawnCollectibleParticles,export/SLES_010.90.c,40804,"(pEVar4,0x5a89815f,worldX,worldY,(int)pEVar7,0x7fffffff,0x7fffffff,0x7fffffff);"
0x5ab9815f,SpawnCollectibleParticles,export/SLES_010.90.c,40809,"(pEVar4,0x5ab9815f,worldX,worldY,(int)pEVar7,0x7fffffff,0x7fffffff,0x7fffffff);"
0x5ad9815f,SpawnCollectibleParticles,export/SLES_010.90.c,40814,"(pEVar4,0x5ad9815f,worldX,worldY,(int)pEVar7,0x7fffffff,0x7fffffff,0x7fffffff);"
0x5822c080,CollectibleSparkleTickCallback,export/SLES_010.90.c,41002,"InitParticleEntity(pEVar7,0x5822c080,local_20,*(undefined1 *)(collectible + 0x74),"
0x68009240,EnemyStartMovingWithSound,export/SLES_010.90.c,42494,"puVar1 = (undefined *)PlayEntityPositionSound(entity,0x68009240);"
0x60b98cbd,LaserMonkeyWalkState,export/SLES_010.90.c,42819,"SetEntitySpriteId((SpriteEntity *)param_1,0x60b98cbd,1);"
0x64bb1cbe,InitTripleLaserMonkeyAttackState,export/SLES_010.90.c,42860,"SetEntitySpriteId(entity,0x64bb1cbe,1);"
0x60b8bc9c,LaserMonkeyIdleState,export/SLES_010.90.c,42902,"SetEntitySpriteId((SpriteEntity *)entity,0x60b8bc9c,1);"
0x804c881c,EntityEventHandlerSpawnParticle,export/SLES_010.90.c,43145,"InitParticleEntity(pEVar1,0x804c881c,local_28,entity->facing,entity->scaleRender,0x3d4,"
