cluster_class_hex,swap_popcount,n_pairs,n_members,component_size,component_kinds,n_labeled,labeled_examples,swap_examples,members,members_truncated
0x00000003,2,112,153,16,sprite|anim,0,,0↔1 | 0↔E | 0↔G | 1↔2,0x10b85810;0x10b91810;0x10b9181c;0x10b94810;0x10b9481c;0x10b95010;0x10b9501c;0x10b95a10;0x10b95a1c;0x10b95c10;0x10b95c1c;0x10b97810;0x10b9781c;0x10b9d810;0x10b9d81c;0x10bb5810,no
0x00283063,8,20,23,10,sprite,2,0x4aee0118=Shriney Guard boss slamming down animati | 0x4baf8200=Shriney Guard boss yelling animation,,0x2a6e0410;0x46269090;0x492c8430;0x4a1ea052;0x4a4ec094;0x4aee0118;0x4baf8200;0x4c2a8850;0x523ea110;0x7a0ec210,no
0x00283063,8,20,23,10,sprite,1,0x4a3ea110=Menu door opens to reveal monkey animati,,0x326e0410;0x4a3ea110;0x512c8430;0x524ec094;0x52ee0118;0x53af8200;0x542a8850;0x5e269090;0x620ec210;0x92af8810,no
0x00000003,2,112,153,8,sprite|anim,0,,0↔1 | 0↔E | 0↔G | 1↔2,0x408a1c10;0x408a2c10;0x40c21c10;0x40c22c10;0x40da1c10;0x40da2c10;0x40ea1c10;0x40ea2c10,no
0x00000003,2,112,153,6,sprite|anim,0,,0↔1 | 0↔E | 0↔G | 1↔2,0x00ce0610;0x09ce0610;0x0ace0610;0x0cce0610;0x18ce0610;0x28ce0610,no
0x00000003,2,112,153,6,audio,0,,0↔1 | 0↔E | 0↔G | 1↔2,0xb0107444;0xb0807444;0xb0b07444;0xb0d07444;0xb1907444;0xb2907444,no
0x007850a5,10,17,22,5,sprite,1,0x4baf8200=Shriney Guard boss yelling animation,,0x2a6e0410;0x4a4ec094;0x4baf8200;0x4c2a8850;0x523ea110,no
0x007850a5,10,17,22,5,sprite,1,0x4a3ea110=Menu door opens to reveal monkey animati,,0x326e0410;0x4a3ea110;0x524ec094;0x53af8200;0x542a8850,no
0x007850a5,10,17,22,5,sprite,1,0x4aee0118=Shriney Guard boss slamming down animati,,0x46269090;0x492c8430;0x4a1ea052;0x4aee0118;0x7a0ec210,no
0x00000003,2,112,153,5,sprite|anim,0,,0↔1 | 0↔E | 0↔G | 1↔2,0x080c8300;0x08148300;0x08188300;0x081d8300;0x081e8300,no
0x00000003,2,112,153,5,sprite|anim,0,,0↔1 | 0↔E | 0↔G | 1↔2,0x800da102;0x800da116;0x800da11a;0x800da132;0x800da152,no
0x00000005,2,52,86,5,sprite|anim,0,,0↔2 | 0↔D | 0↔H | 0↔D,0x10b95010;0x10b95a10;0x10b97810;0x10b9d810;0x10bb5810,no
0x007850a5,10,17,22,5,sprite,0,,,0x512c8430;0x52ee0118;0x5e269090;0x620ec210;0x92af8810,no
0x00d89129,10,14,20,4,sprite,1,0x4baf8200=Shriney Guard boss yelling animation,,0x2a6e0410;0x46269090;0x4a1ea052;0x4baf8200,no
0x00d89129,10,14,20,4,sprite,1,0x4a3ea110=Menu door opens to reveal monkey animati,,0x4a3ea110;0x512c8430;0x524ec094;0x92af8810,no
0x00000003,2,112,153,4,sprite|anim,0,,0↔1 | 0↔E | 0↔G | 1↔2,0x41ca1c10;0x42ca1c10;0x44ca1c10;0x48ca1c10,no
0x00000003,2,112,153,4,sprite|anim,0,,0↔1 | 0↔E | 0↔G | 1↔2,0x462c6040;0x46346040;0x46386040;0x463e6040,no
0x00000005,2,52,86,4,sprite|anim,0,,0↔2 | 0↔D | 0↔H | 0↔D,0x080c8300;0x08188300;0x081d8300;0x085c8300,no
0x00000005,2,52,86,4,sprite|anim,0,,0↔2 | 0↔D | 0↔H | 0↔D,0x10b85810;0x10b91810;0x10b94810;0x10b95c10,no
0x00000005,2,52,86,4,sprite|anim,0,,0↔2 | 0↔D | 0↔H | 0↔D,0x10b9501c;0x10b95a1c;0x10b9781c;0x10b9d81c,no
0x00000005,2,52,86,4,sprite|anim,0,,0↔2 | 0↔D | 0↔H | 0↔D,0x408a1c10;0x40da1c10;0x41ca1c10;0x44ca1c10,no
0x00000001,1,17,27,4,audio,0,,0↔00 | 0↔01 | 0↔02 | 0↔03,0x4c02d240;0x4c22d240;0x4c62d240;0x4ca2d240,no
0x00000003,2,112,153,3,sprite,1,0x4aee0118=Shriney Guard boss slamming down animati,0↔1 | 0↔E | 0↔G | 1↔2,0x4aee0118;0x52ee0118;0x62ee0118,no
