cohort_id,id_a,id_b,class_hex,popcount
C0004,0x00e2f188,0x80e85ea0,0x00155e51,11
C0004,0x00e2f188,0x88a28194,0x01c07221,9
C0004,0x00e2f188,0x902c0002,0x0cef18a9,15
C0004,0x00e2f188,0x9158a0f6,0x17e91ba5,17
C0004,0x00e2f188,0xa9240484,0x0ca9c6f5,16
C0004,0x00e2f188,0xb8700ca1,0x125fa537,17
C0004,0x00e2f188,0xe8628689,0x00ee03d1,12
C0004,0x80e85ea0,0x88a28194,0x0212b7cd,14
C0004,0x80e85ea0,0x902c0002,0x08622f51,12
C0004,0x80e85ea0,0x9158a0f6,0x08d87f2b,16
C0004,0x80e85ea0,0xa9240484,0x0a731689,13
C0004,0x80e85ea0,0xb8700ca1,0x009c4c29,10
C0004,0x80e85ea0,0xe8628689,0x052d115b,13
C0004,0x88a28194,0x902c0002,0x032c311d,12
C0004,0x88a28194,0x9158a0f6,0x0b10cfd1,14
C0004,0x88a28194,0xa9240484,0x02186851,9
C0004,0x88a28194,0xb8700ca1,0x0d28d353,14
C0004,0x88a28194,0xe8628689,0x001c7583,11
C0004,0x902c0002,0x9158a0f6,0x005d283d,12
C0004,0x902c0002,0xa9240484,0x0090c721,9
C0004,0x902c0002,0xb8700ca1,0x0328ca17,12
C0004,0x902c0002,0xe8628689,0x09d0d16f,15
C0004,0x9158a0f6,0xa9240484,0x0f948e47,15
C0004,0x9158a0f6,0xb8700ca1,0x158ae525,14
C0004,0x9158a0f6,0xe8628689,0x133fbc9d,19
C0004,0xa9240484,0xb8700ca1,0x02094455,9
C0004,0xa9240484,0xe8628689,0x041a828d,10
C0004,0xb8700ca1,0xe8628689,0x0128a285,9
C0006,0x0ad0f813,0x29c0e211,0x0111880d,8
C0006,0x0ad0f813,0x2ad0f011,0x00004011,3
C0006,0x0ad0f813,0x68c0f413,0x00188403,6
C0006,0x0ad0f813,0x69c04050,0x086c6217,12
C0006,0x0ad0f813,0x69c8f473,0x018c0c63,10
C0006,0x0ad0f813,0x90810000,0x02734a3f,15
C0006,0x29c0e211,0x2ad0f011,0x00018809,5
C0006,0x29c0e211,0x68c0f413,0x00160241,6
C0006,0x29c0e211,0x69c04050,0x00028905,6
C0006,0x29c0e211,0x69c8f473,0x00205989,8
C0006,0x29c0e211,0x90810000,0x078846e5,13
C0006,0x2ad0f011,0x68c0f413,0x00402421,5
C0006,0x2ad0f011,0x69c04050,0x0414310b,9
C0006,0x2ad0f011,0x69c8f473,0x008c4863,9
C0006,0x2ad0f011,0x90810000,0x011ba51f,14
C0006,0x68c0f413,0x69c04050,0x00b44301,8
C0006,0x68c0f413,0x69c8f473,0x00084003,4
C0006,0x68c0f413,0x90810000,0x04fe107d,15
C0006,0x69c04050,0x69c8f473,0x0008b423,8
C0006,0x69c04050,0x90810000,0x0143e505,11
C0006,0x69c8f473,0x90810000,0x1cfe527d,19
C0019,0x8c510186,0xa9240484,0x02257505,11
C0028,0x408a6461,0x428a6465,0x00000201,2
C0030,0x42906465,0xc2906565,0x00000201,2
C0042,0x5a89815f,0x5ab9815f,0x00000003,2
C0042,0x5a89815f,0x5ad9815f,0x00000005,2
C0042,0x5a89815f,0x98004092,0x07370a27,14
C0042,0x5ab9815f,0x5ad9815f,0x00000003,2
C0042,0x5ab9815f,0x98004092,0x07370ae7,16
C0042,0x5ad9815f,0x98004092,0x07370b67,16
C0049,0x60b93cbd,0x60b9bcbd,0x00000001,1
C0050,0x24002913,0x61200640,0x017a9a29,13
C0062,0x12308128,0x74044081,0x06a598d3,14
C0068,0x400c9a1d,0x44d4c8d8,0x04d852c5,12
C0071,0x222d9098,0x60889602,0x069a42a5,12
C0071,0x222d9098,0x8429153c,0x0242d253,11
C0071,0x60889602,0x8429153c,0x067dc943,15
C0072,0x082c0536,0x8b603980,0x0698796d,15
C0073,0x80729081,0x88329285,0x00081021,4
C0081,0x2cda4604,0xec000027,0x0369188f,13
C0090,0x0244655d,0x181c3854,0x091a585d,13
C0090,0x0244655d,0x8818a018,0x14b98a8b,14
C0090,0x181c3854,0x8818a018,0x004984c9,9
C0092,0x02ed1470,0xc0099011,0x08c385c9,12
C0094,0x60de1050,0xa0cc18d0,0x00482203,6
C0095,0x424d1840,0xa0cc1cd0,0x020921c5,9
C0100,0x8b603980,0x98004092,0x03c8909b,12
C0100,0x8b603980,0xe0c00650,0x01fe835d,16
C0100,0x98004092,0xe0c00650,0x011b09e3,12
C0101,0x18e88310,0x18e88510,0x00000003,2
