function,n_ids,cluster_class,n_pairs_in_class,n_suffix_candidates,example_pair,suffix_candidates
EntityTick_ShadowMirror,12,0x0002404d,6,0,0x052aa082↔0x0538a2ea,
KloggDeathEventHandler,6,0x00000003,4,358,0x800da102↔0x800da11a,0↔1 | 0↔E | 0↔G | 1↔2 | 1↔F | 1↔H | 2↔3 | 2↔G
KloggDeathEventHandler,6,0x00000005,3,288,0x800da102↔0x800da116,0↔2 | 0↔D | 0↔H | 1↔3 | 1↔E | 1↔I | 2↔4 | 2↔F
ClayballState_DestroyWithDebris,5,0x00000003,3,358,0x462c6040↔0x46346040,0↔1 | 0↔E | 0↔G | 1↔2 | 1↔F | 1↔H | 2↔3 | 2↔G
Callback_800570a4,5,0x00000003,3,358,0x462c6040↔0x46346040,0↔1 | 0↔E | 0↔G | 1↔2 | 1↔F | 1↔H | 2↔3 | 2↔G
EntityTick_ShadowMirror,12,0x0c488923,2,0,0x0628a800↔0x2524e089,
EntityTick_ShadowMirror,12,0x002020c3,2,2,0x0628a800↔0x8524a880,61↔ROLL | FALL↔LAND
InitMenuStage1,7,0x00000003,2,358,0x3080820d↔0x3080840d,0↔1 | 0↔E | 0↔G | 1↔2 | 1↔F | 1↔H | 2↔3 | 2↔G
KloggDeathEventHandler,6,0x00000009,2,244,0x800da116↔0x800da132,0↔3 | 0↔C | 0↔I | 1↔4 | 1↔D | 1↔J | 1↔RUN | 2↔5
ClayballState_DestroyWithDebris,5,0x00000005,2,288,0x462c6040↔0x46386040,0↔2 | 0↔D | 0↔H | 1↔3 | 1↔E | 1↔I | 2↔4 | 2↔F
PlayerCallback_DeathDebrisSpawner,5,0x00000003,2,358,0xb468d0c6↔0xb868d0c6,0↔1 | 0↔E | 0↔G | 1↔2 | 1↔F | 1↔H | 2↔3 | 2↔G
RunnEvent_CutsceneDebrisAndLevel,5,0x00000003,2,358,0xb468d0c6↔0xb868d0c6,0↔1 | 0↔E | 0↔G | 1↔2 | 1↔F | 1↔H | 2↔3 | 2↔G
BossCollision_SpawnDebrisAndLayers,5,0x00000003,2,358,0xb468d0c6↔0xb868d0c6,0↔1 | 0↔E | 0↔G | 1↔2 | 1↔F | 1↔H | 2↔3 | 2↔G
FinnDamageEventHandler,5,0x00000003,2,358,0x2e809804↔0x2e811804,0↔1 | 0↔E | 0↔G | 1↔2 | 1↔F | 1↔H | 2↔3 | 2↔G
Callback_800570a4,5,0x00000005,2,288,0x462c6040↔0x46386040,0↔2 | 0↔D | 0↔H | 1↔3 | 1↔E | 1↔I | 2↔4 | 2↔F
PlayerCallback_8005d404,5,0x00000003,2,358,0xb468d0c6↔0xb868d0c6,0↔1 | 0↔E | 0↔G | 1↔2 | 1↔F | 1↔H | 2↔3 | 2↔G
EntityInitCallback_80070850,5,0x00000003,2,358,0xb468d0c6↔0xb868d0c6,0↔1 | 0↔E | 0↔G | 1↔2 | 1↔F | 1↔H | 2↔3 | 2↔G
SpawnCollectibleParticles,4,0x00000003,2,358,0x5a89815f↔0x5ab9815f,0↔1 | 0↔E | 0↔G | 1↔2 | 1↔F | 1↔H | 2↔3 | 2↔G
GlennYntisDeathEventHandler,4,0x00000003,2,358,0x18e88310↔0x18e88510,0↔1 | 0↔E | 0↔G | 1↔2 | 1↔F | 1↔H | 2↔3 | 2↔G
EntityTick_ShadowMirror,12,0x01810441,1,1,0x052aa082↔0x0628a800,UP↔LAND
EntityTick_ShadowMirror,12,0x01110211,1,1,0x052aa082↔0x0708a4a0,UP↔IDLE
EntityTick_ShadowMirror,12,0x00100285,1,1,0x052aa082↔0x112ae088,21↔F17
EntityTick_ShadowMirror,12,0x002c8039,1,0,0x052aa082↔0x2524e089,
EntityTick_ShadowMirror,12,0x000a8413,1,0,0x052aa082↔0x8139a088,
CreateMenuEntities,8,0x00155e51,1,0,0x00e2f188↔0x80e85ea0,
CreateMenuEntities,8,0x01c07221,1,0,0x00e2f188↔0x88a28194,
CreateMenuEntities,8,0x0cef18a9,1,0,0x00e2f188↔0x902c0002,
CreateMenuEntities,8,0x17e91ba5,1,0,0x00e2f188↔0x9158a0f6,
CreateMenuEntities,8,0x0ca9c6f5,1,0,0x00e2f188↔0xa9240484,
CreateMenuEntities,8,0x125fa537,1,0,0x00e2f188↔0xb8700ca1,
CreateMenuEntities,8,0x00ee03d1,1,0,0x00e2f188↔0xe8628689,
CreateMenuEntities,8,0x0212b7cd,1,0,0x80e85ea0↔0x88a28194,
ToggleMenuOptionState,7,0x0111880d,1,0,0x0ad0f813↔0x29c0e211,
ToggleMenuOptionState,7,0x00004011,1,54,0x0ad0f813↔0x2ad0f011,0↔44 | 1↔54 | 2↔64 | 3↔74 | 3↔HAIR | 4↔08 | 4↔84 | 5↔18
ToggleMenuOptionState,7,0x00188403,1,0,0x0ad0f813↔0x68c0f413,
ToggleMenuOptionState,7,0x086c6217,1,0,0x0ad0f813↔0x69c04050,
ToggleMenuOptionState,7,0x018c0c63,1,0,0x0ad0f813↔0x69c8f473,
ToggleMenuOptionState,7,0x02734a3f,1,0,0x0ad0f813↔0x90810000,
ToggleMenuOptionState,7,0x00018809,1,0,0x29c0e211↔0x2ad0f011,
ToggleMenuOptionState,7,0x00160241,1,1,0x29c0e211↔0x68c0f413,26↔EXIT
InitMenuStage1,7,0x044e14d9,1,0,0x10094096↔0x3080820d,
InitMenuStage1,7,0x044e24d9,1,0,0x10094096↔0x3080840d,
InitMenuStage1,7,0x044e74d9,1,0,0x10094096↔0x30808e0d,
InitMenuStage1,7,0x031e5153,1,0,0x10094096↔0x38a0c119,
InitMenuStage1,7,0x021d42e3,1,0,0x10094096↔0x40b18011,
InitMenuStage1,7,0x192a51cf,1,0,0x10094096↔0x68c01218,
InitMenuStage1,7,0x020810c5,1,0,0x3080820d↔0x38a0c119,
KloggDeathEventHandler,6,0x00012211,1,3,0x800da102↔0x888da193,17↔CHEST | 27↔LEG | 43↔F31
KloggDeathEventHandler,6,0x00000011,1,205,0x800da116↔0x800da152,0↔4 | 0↔B | 0↔J | 1↔5 | 1↔C | 1↔K | 2↔6 | 2↔D
KloggDeathEventHandler,6,0x00010a11,1,4,0x800da116↔0x888da193,15↔CHEST | 25↔LEG | 41↔F31 | 61↔GLIDE
KloggDeathEventHandler,6,0x00011211,1,5,0x800da11a↔0x888da193,16↔CHEST | 26↔LEG | 42↔F31 | 46↔RIGHT | 95↔COLLECT
KloggDeathEventHandler,6,0x00014211,1,5,0x800da132↔0x888da193,18↔CHEST | 26↔DIE | 28↔LEG | 41↔CLOSING | 44↔F31
ClayballState_DestroyWithDebris,5,0x00000009,1,244,0x462c6040↔0x463e6040,0↔3 | 0↔C | 0↔I | 1↔4 | 1↔D | 1↔J | 1↔RUN | 2↔5
ClayballState_DestroyWithDebris,5,0x04242411,1,1,0x462c6040↔0xd6bc2450,64↔PIECE
ClayballState_DestroyWithDebris,5,0x04242211,1,3,0x46346040↔0xd6bc2450,R↔DEACTIVATE | 63↔PIECE | F37↔KICK
ClayballState_DestroyWithDebris,5,0x04242111,1,2,0x46386040↔0xd6bc2450,62↔PIECE | MIRROR↔CLOSING
ClayballState_DestroyWithDebris,5,0x04242091,1,2,0x463e6040↔0xd6bc2450,61↔PIECE | 77↔BONUS
PlayerCallback_DeathDebrisSpawner,5,0x02a14ac3,1,0,0x146ce002↔0x3d348056,
PlayerCallback_DeathDebrisSpawner,5,0x00218625,1,0,0x146ce002↔0xb468d0c6,
PlayerCallback_DeathDebrisSpawner,5,0x010c312b,1,0,0x146ce002↔0xb868d0c6,
PlayerCallback_DeathDebrisSpawner,5,0x02186255,1,0,0x146ce002↔0xbe68d0c6,
PlayerCallback_DeathDebrisSpawner,5,0x0895c509,1,0,0x3d348056↔0xb468d0c6,
PlayerCallback_DeathDebrisSpawner,5,0x0855c509,1,0,0x3d348056↔0xb868d0c6,
PlayerCallback_DeathDebrisSpawner,5,0x06b8a121,1,0,0x3d348056↔0xbe68d0c6,
RunnEvent_CutsceneDebrisAndLevel,5,0x02a14ac3,1,0,0x146ce002↔0x3d348056,
RunnEvent_CutsceneDebrisAndLevel,5,0x00218625,1,0,0x146ce002↔0xb468d0c6,
RunnEvent_CutsceneDebrisAndLevel,5,0x010c312b,1,0,0x146ce002↔0xb868d0c6,
RunnEvent_CutsceneDebrisAndLevel,5,0x02186255,1,0,0x146ce002↔0xbe68d0c6,
RunnEvent_CutsceneDebrisAndLevel,5,0x0895c509,1,0,0x3d348056↔0xb468d0c6,
RunnEvent_CutsceneDebrisAndLevel,5,0x0855c509,1,0,0x3d348056↔0xb868d0c6,
RunnEvent_CutsceneDebrisAndLevel,5,0x06b8a121,1,0,0x3d348056↔0xbe68d0c6,
BossCollision_SpawnDebrisAndLayers,5,0x02a14ac3,1,0,0x146ce002↔0x3d348056,
BossCollision_SpawnDebrisAndLayers,5,0x00218625,1,0,0x146ce002↔0xb468d0c6,
BossCollision_SpawnDebrisAndLayers,5,0x010c312b,1,0,0x146ce002↔0xb868d0c6,
