cohort_id,line_range,opaque_name,n_ids,n_intra_pairs,intra_class_top,asset_ids,asset_kinds,asset_levels,labeled_ids,co_occurring_cohort_count
C0000,15949-15993,InitPlayerEntity,1,0,,0x21842018,sprite|anim,FINN,,0
C0001,22393-22447,AddPlayerOrbs,1,0,,0x428254e2,audio,,,1
C0002,23951-23990,InitEntity_8c510186,1,0,,0x8c510186,sprite|anim,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FINN;FOOD;GLEN;GLID;HEAD;KLOG;MEGA;MENU;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,,1
C0003,24072-24107,InitTimerDisplayEntity,1,0,,0x6a351094,sprite|anim,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FINN;FOOD;GLEN;GLID;HEAD;KLOG;MEGA;MENU;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,,2
C0004,24362-25159,CreateMenuEntities,8,28,0x00155e51(1);0x01c07221(1);0x0cef18a9(1);0x17e91ba5(1);0x0ca9c6f5(1);0x125fa537(1),0x00e2f188;0x80e85ea0;0x88a28194;0x902c0002;0x9158a0f6;0xa9240484;0xb8700ca1;0xe8628689,sprite|anim,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FINN;FOOD;GLEN;GLID;HEAD;KLOG;MEGA;MENU;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,0x00e2f188=Number glyph frames 0-9,11
C0005,25994-26013,ToggleMenuSelectionHighlight,1,0,,0x646c2cc0,audio,,,1
C0006,26044-26088,ToggleMenuOptionState,7,21,0x0111880d(1);0x00004011(1);0x00188403(1);0x086c6217(1);0x018c0c63(1);0x02734a3f(1),0x0ad0f813;0x29c0e211;0x2ad0f011;0x68c0f413;0x69c04050;0x69c8f473;0x90810000,audio;sprite|anim,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FINN;FOOD;GLEN;GLID;HEAD;KLOG;MEGA;MENU;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,0x0ad0f813=Text: Paused | 0x29c0e211=Text: No | 0x2ad0f011=Text: Yes | 0x68c0f413=Text: Quit | 0x69c04050=Text: Continue | 0x69c8f473=Text: Quit Game,4
C0007,27388-27405,InitGreenBulletsCollectible,1,0,,0xe8628689,sprite|anim,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FINN;FOOD;GLEN;GLID;HEAD;KLOG;MEGA;MENU;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,,1
C0008,27435-27448,DecorEntity_CollectWithSwirlyEffect,1,0,,0x02847462,audio,,,0
C0009,27484-27504,InitDecorEntityWithHUDIcon,1,0,,0xb8700ca1,sprite|anim,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FINN;FOOD;GLEN;GLID;HEAD;KLOG;MEGA;MENU;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,,4
C0010,27733-27743,InitYellowBirdCollectible,1,0,,0xc87ca082,sprite|anim,GLID;SCIE;SOAR;TMPL,,0
C0011,27772-27807,CollectibleYellowBirdTickCallback,1,0,,0x6082c120,audio,,,0
C0012,27831-27895,InitClayballWithRandomColor,1,0,,0xb8700ca1,sprite|anim,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FINN;FOOD;GLEN;GLID;HEAD;KLOG;MEGA;MENU;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,,4
C0013,27921-27934,CollectibleClaySingleTickCallback,1,0,,0x4a806042,audio,,,1
C0014,28279-28288,DecorSetSpriteIdle,1,0,,0x09406d8a,sprite|anim,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;MOSS;PHRO;SCIE;SNOW;TMPL;WEED,,0
C0015,28426-28441,InitTransparentDecorEntity,1,0,,0xa9240484,sprite|anim,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FINN;FOOD;GLEN;GLID;HEAD;KLOG;MEGA;MENU;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,,2
C0016,28467-28483,CollectibleExtraLifeTickCallback,1,0,,0x428254e2,audio,,,1
