id_hex,score,candidate,structure,role,levels,kinds,sources
0x085860d4,30.0,GEMCOMMON,2-tok:item|desc,,MEGA,sprite|anim,demo
0x0ad0f813,130.0,PAUSED,ui:ui,Text: Paused,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FINN;FOOD;GLEN;GLID;HEAD;KLOG;MEGA;MENU;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,sprite|anim,demo
0x18248010,20.0,SPIKESSPITTINGD,3-tok:item|act|dir,,KLOG,sprite|anim,beta
0x28a0c119,20.0,IDOLRAN34,3-tok:char|act|num,,MENU,sprite|anim,beta
0x29c0e211,130.0,NO,ui:ui,Text: No,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FINN;FOOD;GLEN;GLID;HEAD;KLOG;MEGA;MENU;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,sprite|anim,demo
0x2ad0f011,130.0,YES,ui:ui,Text: Yes,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FINN;FOOD;GLEN;GLID;HEAD;KLOG;MEGA;MENU;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,sprite|anim,demo
0x30a0c119,20.0,ROYALARMS07,3-tok:char|body|num,,MENU,sprite|anim,beta
0x38a0c119,20.0,ROYALARM07,3-tok:char|body|num,,MENU,sprite|anim,beta
0x68c0f413,130.0,QUIT,ui:ui,Text: Quit,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FINN;FOOD;GLEN;GLID;HEAD;KLOG;MEGA;MENU;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,sprite|anim,demo
0x69c04050,130.0,CONTINUE,ui:ui,Text: Continue,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FINN;FOOD;GLEN;GLID;HEAD;KLOG;MEGA;MENU;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,sprite|anim,demo
0x69c8f473,70.0,QUITGAME,ui:ui,Text: Quit Game,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FINN;FOOD;GLEN;GLID;HEAD;KLOG;MEGA;MENU;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,sprite|anim,demo
