container,kind,size,n_ids,ids
BOIL/primary,sprite,29384,6,0x542a8850;0x0a3a4051;0x0e0ac230;0x1a28c11a;0x1e089010;0xd02dc3d5
BOIL/primary,sprite,45432,5,0x524ec094;0x00388110;0x08208902;0x1b301085;0x393c80c2
FOOD/stage1,sprite,3468,5,0x326e0410;0x000cc8f8;0x410800f9;0x410808f9;0x410818f9
BOIL/primary,sprite,27056,4,0x53af8200;0x1c395196;0x3838801a;0x8d01c734
BOIL/primary,sprite,29672,4,0x52ee0118;0x1cf99931;0x1df99931;0x1ef99931
EGGS/stage0,sprite,10092,4,0x7a0ec210;0x052aa082;0x0628a800;0x0708a4a0
GLEN/primary,sprite,181764,4,0x4a4ec094;0x2b79835d;0x2d688254;0x69588258
MEGA/primary,sprite,204912,4,0x4baf8200;0x085860d4;0x09382152;0x40106054
WIZZ/primary,sprite,63840,4,0x4c2a8850;0x024d704e;0x08de7215;0x883d14b4
BOIL/primary,sprite,22532,3,0x512c8430;0x0b2084d0;0x88b9833c
BOIL/stage0,sprite,17980,3,0x620ec210;0x880161a7;0x91106183
EGGS/stage0,sprite,6232,3,0x2a6e0410;0x0538a2ea;0xa628e009
EGGS/stage0,sprite,2312,3,0x523ea110;0x8139a088;0xd70880a4
FOOD/stage2,sprite,21796,3,0x63af8200;0x006b9a6f;0xa0299a4d
FOOD/stage2,sprite,19908,3,0x612c8430;0x21229c5c;0x21a81d54
GLEN/primary,sprite,66324,3,0x4a1ea052;0x407801d0;0x8068815c
MEGA/primary,sprite,122076,3,0x4aee0118;0x0a1820d4;0x2c182010
MENU/stage4,sprite,20732,3,0x4a3ea110;0x40b18011;0x40b48011
RUNN/primary,sprite,45432,3,0x524ec094;0x08208902;0x1b301085
WIZZ/primary,sprite,128800,3,0x492c8430;0x022e3442;0x02ed1470
WIZZ/primary,sprite,38800,3,0x46269090;0x424d1840;0x81421850
BRG1/stage0,sprite,36292,2,0x92af8810;0x60a91c9c
BRG1/stage0,sprite,5696,2,0x62ee0118;0x60aa1c9c
GLEN/primary,sprite,45432,2,0x524ec094;0x1b301085
MENU/stage0,sprite,779584,2,0x5e269090;0x28a0c119
MENU/stage5,sprite,779584,2,0x5e269090;0x30a0c119
