container,kind,n_members,anchor,visual_role,dims_set,size_set,members
FINN/primary,sprite,16,,[HIGH]: FINN player directional sprite (Klayme,44x43 44x44 45x45 46x49 46x50 47x54,10864;10876;10924;10932;10964;11016;11112;11132,0x10b85810;0x10b91810;0x10b9181c;0x10b94810;0x10b9481c;0x10b95010;0x10b9501c;0x10b95a10;0x10b95a1c;0x10b95c10;0x10b95c1c;0x10b97810;0x10b9781c;0x10b9d810;0x10b9d81c;0x10bb5810
CSTL/stage0,sprite,6,,,10x10 22x23 31x31 48x48 80x80 112x112,684;1036;1384;2544;5760;10656,0x00ce0610;0x09ce0610;0x0ace0610;0x0cce0610;0x18ce0610;0x28ce0610
CSTL/stage1,sprite,6,,,10x10 22x23 31x31 48x48 80x80 112x112,684;1036;1384;2544;5760;10656,0x00ce0610;0x09ce0610;0x0ace0610;0x0cce0610;0x18ce0610;0x28ce0610
CSTL/stage3,sprite,6,,,10x10 22x23 31x31 48x48 80x80 112x112,684;1036;1384;2544;5760;10656,0x00ce0610;0x09ce0610;0x0ace0610;0x0cce0610;0x18ce0610;0x28ce0610
EVIL/primary,sprite,6,,[MED]: Curtain/wall texture (green/blue vertic,64x64 64x80 80x80,4800;5856;7136,0x080c8300;0x08148300;0x08188300;0x081c8302;0x081d8300;0x081e8300
FINN/primary,sprite,6,,,64x64 192x64,4800;12992,0x08148300;0x08188300;0x081c8302;0x081d8300;0x081e8300;0x085c8300
FOOD/stage0,sprite,6,,,10x10 22x23 31x31 48x48 80x80 112x112,684;1036;1384;2544;5760;10656,0x00ce0610;0x09ce0610;0x0ace0610;0x0cce0610;0x18ce0610;0x28ce0610
SEVN/primary,sprite,6,,,10x10 22x23 31x31 48x48 80x80 112x112,684;1036;1384;2544;5760;10656,0x00ce0610;0x09ce0610;0x0ace0610;0x0cce0610;0x18ce0610;0x28ce0610
TMPL/primary,audio,6,FX_AMBIENT_DRIP_4;FX_AMBIENT_DRIP_1,,,2112;3568;4128;4352;5152;12976,0xb0107444;0xb0807444;0xb0b07444;0xb0d07444;0xb1907444;0xb2907444
TMPL/stage1,sprite,6,,,10x10 22x23 31x31 48x48 80x80 112x112,684;1036;1384;2544;5760;10656,0x00ce0610;0x09ce0610;0x0ace0610;0x0cce0610;0x18ce0610;0x28ce0610
TMPL/stage3,sprite,6,,,10x10 22x23 31x31 48x48 80x80 112x112,684;1036;1384;2544;5760;10656,0x00ce0610;0x09ce0610;0x0ace0610;0x0cce0610;0x18ce0610;0x28ce0610
BRG1/stage2,sprite,5,,,56x74 61x53 62x55,5696;6204;32548;36288;36292,0x60a91c9c;0x60aa1c9c;0x60b8bc9c;0x61a91c9c;0x62aa1c9c
BRG1/stage3,sprite,5,,,56x74 61x53 62x55,5696;6204;32548;36288;36292,0x60a91c9c;0x60aa1c9c;0x60b8bc9c;0x61a91c9c;0x62aa1c9c
KLOG/primary,sprite,5,,[HIGH]: Klogg boss death animation frame 1,9x10 12x19 15x14 20x11 81x71,2488;2552;2976;3152;22492,0x800da102;0x800da116;0x800da11a;0x800da132;0x800da152
RUNN/primary,sprite,5,,,48x64 64x64,3776;4800,0x08148300;0x08188300;0x081c8302;0x081d8300;0x081e8300
BOIL/stage2,sprite,4,FX_PLAYER_SWIM_PRE,,6x8 8x20 16x24 16x30,1052;1604;2216;2892,0x462c6040;0x46346040;0x46386040;0x463e6040
BRG1/stage0,sprite,4,,,56x74 61x53,5696;6204;36288;36292,0x60a91c9c;0x60aa1c9c;0x61a91c9c;0x62aa1c9c
CAVE/stage0,sprite,4,FX_PLAYER_SWIM_PRE,,6x8 8x20 16x24 16x30,1052;1604;2216;2892,0x462c6040;0x46346040;0x46386040;0x463e6040
CAVE/stage3,sprite,4,FX_PLAYER_SWIM_PRE,,6x8 8x20 16x24 16x30,1052;1604;2216;2892,0x462c6040;0x46346040;0x46386040;0x463e6040
CRYS/stage0,sprite,4,FX_PLAYER_SWIM_PRE,,6x8 8x20 16x24 16x30,1052;1604;2216;2892,0x462c6040;0x46346040;0x46386040;0x463e6040
CRYS/stage1,sprite,4,FX_PLAYER_SWIM_PRE,,6x8 8x20 16x24 16x30,1052;1604;2216;2892,0x462c6040;0x46346040;0x46386040;0x463e6040
CRYS/stage2,sprite,4,FX_PLAYER_SWIM_PRE,,6x8 8x20 16x24 16x30,1052;1604;2216;2892,0x462c6040;0x46346040;0x46386040;0x463e6040
CRYS/stage4,sprite,4,FX_PLAYER_SWIM_PRE,,6x8 8x20 16x24 16x30,1052;1604;2216;2892,0x462c6040;0x46346040;0x46386040;0x463e6040
CSTL/stage0,sprite,4,FX_PLAYER_SWIM_PRE,,6x8 8x20 16x24 16x30,1052;1604;2216;2892,0x462c6040;0x46346040;0x46386040;0x463e6040
CSTL/stage1,sprite,4,FX_PLAYER_SWIM_PRE,,6x8 8x20 16x24 16x30,1052;1604;2216;2892,0x462c6040;0x46346040;0x46386040;0x463e6040
CSTL/stage3,sprite,4,FX_PLAYER_SWIM_PRE,,6x8 8x20 16x24 16x30,1052;1604;2216;2892,0x462c6040;0x46346040;0x46386040;0x463e6040
EGGS/stage0,sprite,4,FX_PLAYER_SWIM_PRE,,6x8 8x20 16x24 16x30,1052;1604;2216;2892,0x462c6040;0x46346040;0x46386040;0x463e6040
EGGS/stage1,sprite,4,FX_PLAYER_SWIM_PRE,,6x8 8x20 16x24 16x30,1052;1604;2216;2892,0x462c6040;0x46346040;0x46386040;0x463e6040
EGGS/stage2,sprite,4,FX_PLAYER_SWIM_PRE,,6x8 8x20 16x24 16x30,1052;1604;2216;2892,0x462c6040;0x46346040;0x46386040;0x463e6040
EGGS/stage3,sprite,4,FX_PLAYER_SWIM_PRE,,6x8 8x20 16x24 16x30,1052;1604;2216;2892,0x462c6040;0x46346040;0x46386040;0x463e6040
GLID/stage1,sprite,4,FX_PLAYER_SWIM_PRE,,6x8 8x20 16x24 16x30,1052;1604;2216;2892,0x462c6040;0x46346040;0x46386040;0x463e6040
GLID/stage2,sprite,4,FX_PLAYER_SWIM_PRE,,6x8 8x20 16x24 16x30,1052;1604;2216;2892,0x462c6040;0x46346040;0x46386040;0x463e6040
GLID/stage4,sprite,4,FX_PLAYER_SWIM_PRE,,6x8 8x20 16x24 16x30,1052;1604;2216;2892,0x462c6040;0x46346040;0x46386040;0x463e6040
KLOG/primary,audio,4,FX_BOSS_KLOGG_HIT_1;FX_BOSS_KLOGG_HIT,,,4448;9920;9936;15664,0x4c02d240;0x4c22d240;0x4c62d240;0x4ca2d240
MOSS/primary,sprite,4,FX_PLAYER_SWIM_PRE,,6x8 8x20 16x24 16x30,1052;1604;2216;2892,0x462c6040;0x46346040;0x46386040;0x463e6040
SCIE/stage2,sprite,4,,,48x34,7168;17248;18260;24520,0x400c989d;0x400c991d;0x400c9a1d;0x40189a1d
