level,n_entities,n_types,categories,roster
BOIL,944,20,Projectile:562;Other:209;Collectible:74;Enemy:50;Platform/Decor:46;Boss:3,GreenBullets=553 type215=78 PathHazard=75 PickupVariant=45 SoundPlatform=36 EnemyCluster=30 type16=29 ClayKeeperEnemy=20 PickupVariant=17 EggBeater=11 TriggerZone=10 type13=8 type42=7 KloggCatchableBall=6
BRG1,312,21,Projectile:141;Other:115;Collectible:32;Platform/Decor:16;Enemy:8,GreenBullets=123 type103=34 UniverseEnema=30 type102=21 GreenHeart=19 KloggCatchableBall=14 ClockPlatformC=9 type101=8 MovingPlatformC=7 type42=6 PickupVariant=6 EnemyCluster=5 EggBeater=5 PickupVariant=5
CAVE,456,22,Projectile:192;Other:144;Platform/Decor:82;Collectible:20;Enemy:16;Boss:2,GreenBullets=181 UniverseEnema=114 SoundPlatform=33 TriggerPlatform=24 type16=15 ClayKeeperEnemy=14 ScaledMovingPlatform=12 ExtraLife=12 MovingPlatformC=7 KloggCatchableBall=7 type42=6 EggBeater=6 Collectible=5 SpecialAmmo=4
CLOU,402,16,Projectile:282;Enemy:46;Other:44;Collectible:27;Platform/Decor:3,GreenBullets=242 SpecialAmmo=40 EnemyCluster=38 PickupVariant=19 type202=11 ClayKeeperEnemy=8 EggBeater=8 type42=7 type16=7 Collectible=7 type14=6 type13=3 MovingPlatformC=3 type43=1
CRYS,749,21,Projectile:475;Collectible:124;Other:102;Platform/Decor:28;Enemy:20,GreenBullets=417 SpecialAmmo=54 UniverseEnema=52 PickupVariant=32 GreenHeart=29 ExtraLife=25 type16=21 SoundPlatform=20 PickupVariant=18 Collectible=13 FlyingEnemy=10 EggBeater=10 ClayKeeperEnemy=10 type42=9
CSTL,641,22,Other:315;Projectile:269;Enemy:38;Collectible:14;Boss:3;Platform/Decor:2,GreenBullets=259 type15=141 type55=56 ScaleReset=45 ClayKeeperEnemy=34 PathDecor2=32 Particle=18 type16=8 KloggCatchableBall=7 Collectible=6 type42=5 FlyingEnemy=4 Object=4 ExtraLife=4
EGGS,564,19,Projectile:330;Platform/Decor:141;Other:65;Collectible:12;Enemy:10;Boss:6,GreenBullets=326 TriggerPlatform=112 UniverseEnema=22 SoundPlatform=18 type16=16 ClayKeeperEnemy=10 EggBeater=9 type13=9 type42=8 BossPart=6 TriggerPlatform=5 PickupVariant=5 MovingPlatformC=4 Collectible=4
EVIL,375,17,Collectible:136;Other:96;Projectile:92;Platform/Decor:45;Enemy:6,type215=65 SpecialAmmo=64 PickupVariant=47 MovingPlatformA=42 PickupVariant=40 PhoenixHand=35 GreenBullets=27 Collectible=12 type13=10 type16=10 ClayKeeperEnemy=6 type42=5 EggBeater=5 MovingPlatformC=3
FINN,67,8,Projectile:26;Other:22;Collectible:19,GreenBullets=26 PhartHeadCollectible=10 Collectible=9 type208=9 type218=5 type223=4 type13=2 type16=2
FOOD,384,23,Projectile:211;Collectible:74;Other:65;Platform/Decor:20;Enemy:14,GreenBullets=192 PhoenixHand=43 SoundPlatform=20 CollectibleAlt=18 type225=17 ClayKeeperEnemy=14 ScaleReset=12 KloggCatchableBall=11 PickupVariant=9 EggBeater=6 type209=6 Particle=5 ClayballVariantD=5 type42=4
GLEN,1,1,Other:1,type143=1
GLID,774,17,Projectile:521;Platform/Decor:150;Collectible:48;Other:37;Enemy:15;Boss:3,GreenBullets=511 TriggerPlatform=113 TriggerPlatform=28 ExtraLife=27 EggBeater=16 PickupVariant=15 ClayKeeperEnemy=15 type210=12 type42=7 KloggCatchableBall=7 Collectible=6 MovingPlatformC=6 DirectionalScaled=3 SpecialAmmo=3
HEAD,1,1,Other:1,type144=1
KLOG,1,1,Other:1,type145=1
MEGA,6,4,Platform/Decor:2;Collectible:2;Other:2,GridHelper=2 GreenHeart=2 type142=1 type205=1
MENU,10,6,Other:10,type161=2 type162=2 type163=2 type164=2 type165=1 type166=1
MOSS,445,23,Projectile:261;Other:60;Enemy:54;Collectible:49;Platform/Decor:16;Boss:5,GreenBullets=211 KloggCatchableBall=45 ExtraLife=34 ClayKeeperEnemy=32 EnemyCluster=22 PathDecor2=17 SoundPlatform=13 type16=9 type42=8 Particle=6 EggBeater=6 PickupVariant=5 SpecialAmmo=5 type15=5
PHRO,545,18,Projectile:326;Collectible:101;Other:57;Boss:32;Platform/Decor:29,GreenBullets=322 PickupVariant=97 SoundPlatform=29 BossMain=22 Particle=17 type227=12 type103=10 BossRelated=10 BounceClay=6 type42=5 Collectible=4 SpecialAmmo=3 type219=2 type203=2
RUNN,629,6,Projectile:608;Other:17;Collectible:4,GreenBullets=604 type43=15 Collectible=4 SpecialAmmo=3 type227=2 ClayballVariantA=1
SCIE,670,17,Projectile:452;Collectible:113;Platform/Decor:66;Other:30;Enemy:9,GreenBullets=422 SoundPlatform=66 PickupVariant=48 KloggCatchableBall=26 PickupVariant=22 PickupVariant=16 GreenHeart=16 EggBeater=10 ClayKeeperEnemy=9 BounceClay=8 type42=7 Collectible=5 TimedCollectible=5 SpecialAmmo=4
SEVN,193,12,Projectile:65;Collectible:55;Other:41;Platform/Decor:20;Enemy:8;Boss:4,GreenBullets=65 Collectible=45 type213=27 SoundPlatform=20 ClayKeeperEnemy=8 ExtraLife=8 type42=6 type13=5 BossPart=4 GreenHeart=2 type214=2 type221=1
SNOW,715,24,Projectile:294;Other:221;Collectible:91;Platform/Decor:88;Enemy:20;Boss:1,GreenBullets=280 Particle=117 ExtraLife=68 SoundPlatform=33 type201=32 FallingPlatform=28 type127=20 type16=18 TriggerZone=16 ClayKeeperEnemy=16 PickupVariant=16 FallingPlatform=11 EggBeater=11 KloggCatchableBall=9
SOAR,960,19,Projectile:566;Other:232;Platform/Decor:71;Collectible:64;Enemy:27,GreenBullets=548 type103=70 type226=65 MovingPlatformB=65 type102=60 PickupVariant=33 type101=31 SpecialAmmo=18 FlyingEnemy=18 PickupVariant=10 ClayKeeperEnemy=9 ExtraLife=8 PhoenixHand=7 ClockPlatformC=6
TMPL,409,29,Projectile:239;Other:122;Collectible:21;Enemy:14;Platform/Decor:13,GreenBullets=222 type16=17 type216=17 PathDecor2=15 type206=14 type204=14 type207=13 ClayKeeperEnemy=11 BounceClay=9 SoundPlatform=9 GreenHeart=8 type42=7 UniverseEnema=7 SpecialAmmo=5
WEED,453,17,Projectile:199;Other:113;Platform/Decor:70;Collectible:42;Enemy:16;Boss:13,GreenBullets=196 TriggerPlatform=51 type202=46 type211=31 UniverseEnema=22 GreenHeart=20 TriggerPlatform=19 ClayKeeperEnemy=16 PickupVariant=14 BossPart=13 Collectible=8 type42=6 SpecialAmmo=3 type14=3
WIZZ,1,1,Other:1,type141=1
