n_members,n_referenced,sequence_style,token_span,stem_hash,call_kinds,category,top_functions,levels,members
16,0,YES,9-17,0x10b95810,,Uncategorized,,FINN,0x10b85810;0x10b91810;0x10b9181c;0x10b94810;0x10b9481c;0x10b95010;0x10b9501c;0x10b95a10;0x10b95a1c;0x10b95c10;0x10b95c1c;0x10b97810;0x10b9781c;0x10b9d810;0x10b9d81c;0x10bb5810
6,1,YES,24-29,0x08ce0610,sprite:2,Uncategorized,InitPasswordEntity,CSTL;FOOD;SEVN;TMPL,0x00ce0610;0x09ce0610;0x0ace0610;0x0cce0610;0x18ce0610;0x28ce0610
6,0,YES,20-25,0xb0907444,,Uncategorized,,TMPL,0xb0107444;0xb0807444;0xb0b07444;0xb0d07444;0xb1907444;0xb2907444
5,0,YES,16-20,0x081c8300,,Uncategorized,,EVIL;FINN;RUNN,0x080c8300;0x08148300;0x08188300;0x081d8300;0x081e8300
5,5,YES,2-6,0x800da112,,Boss,KloggDeathEventHandler,KLOG,0x800da102;0x800da116;0x800da11a;0x800da132;0x800da152
5,0,YES,9-17,0x10b95810,,Uncategorized,,FINN,0x10b95010;0x10b95a10;0x10b97810;0x10b9d810;0x10bb5810
4,0,YES,24-27,0x40ca1c10,,Uncategorized,,CRYS,0x41ca1c10;0x42ca1c10;0x44ca1c10;0x48ca1c10
4,4,YES,17-20,0x463c6040,,Clayball/Projectile,ClayballState_DestroyWithDebris | Callback_800570a4,BOIL;CAVE;CRYS;CSTL;EGGS,0x462c6040;0x46346040;0x46386040;0x463e6040
4,0,YES,16-22,0x081c8300,,Uncategorized,,EVIL;FINN;RUNN,0x080c8300;0x08188300;0x081d8300;0x085c8300
4,0,YES,10-16,0x10b95810,,Uncategorized,,FINN,0x10b85810;0x10b91810;0x10b94810;0x10b95c10
4,0,YES,9-15,0x10b9581c,,Uncategorized,,FINN,0x10b9501c;0x10b95a1c;0x10b9781c;0x10b9d81c
4,0,YES,20-26,0x40ca1c10,,Uncategorized,,CAVE,0x408a1c10;0x40da1c10;0x41ca1c10;0x44ca1c10
4,0,YES,21-23,0x4c22d240,,Uncategorized,,KLOG,0x4c02d240;0x4c22d240;0x4c62d240;0x4ca2d240
3,0,YES,27-29,0x42ee0118,,Uncategorized,,MEGA,0x4aee0118;0x52ee0118;0x62ee0118
3,0,YES,27-29,0x43af8200,,Uncategorized,,MEGA,0x4baf8200;0x53af8200;0x63af8200
3,1,YES,22-24,0x61181a0c,sprite:2,Uncategorized,InitEntityState_Idle,BOIL;BRG1;CRYS;MOSS;SCIE,0x60181a0c;0x61581a0c;0x61981a0c
3,0,YES,25-27,0x0c041001,,Uncategorized,,WIZZ,0x04041001;0x08041001;0x0e041001
3,3,YES,9-11,0x18e88110,,Boss,GlennYntisDeathEventHandler,GLEN,0x18e88310;0x18e88510;0x18e88910
3,3,YES,15-17,0x2e819804,,Enemy,FinnDamageEventHandler,KLOG,0x2e809804;0x2e811804;0x2e839804
3,3,YES,9-11,0x3080860d,sprite:6,Menu/UI,InitMenuStage1,MENU,0x3080820d;0x3080840d;0x30808e0d
3,1,YES,7-9,0x400c981d,sprite:1,Enemy,InitEnemyAnimatedWithDeathSpawn,BOIL;BRG1;CRYS;MOSS;SCIE,0x400c989d;0x400c991d;0x400c9a1d
3,1,YES,16-18,0x40b08011,token:2,Menu/UI,InitMenuStage1,MENU,0x40b18011;0x40b28011;0x40b48011
3,0,YES,22-24,0x49209640,,Uncategorized,,KLOG,0x48209640;0x49609640;0x49a09640
3,0,YES,27-29,0x412c8430,,Uncategorized,,WIZZ,0x492c8430;0x512c8430;0x612c8430
3,0,YES,21-23,0x4c22d240,,Uncategorized,,KLOG,0x4c02d240;0x4c62d240;0x4ca2d240
3,3,YES,20-22,0x5a99815f,,Effect/Particle,SpawnCollectibleParticles,BOIL;BRG1;CLOU;CRYS;CSTL,0x5a89815f;0x5ab9815f;0x5ad9815f
3,3,YES,25-27,0xbc68d0c6,,Player,BossCollision_SpawnDebrisAndLayers | EntityInitCallback_80070850 | PlayerCallback_DeathDebrisSpawner,BOIL;BRG1;CAVE;CLOU;CRYS,0xb468d0c6;0xb868d0c6;0xbe68d0c6
3,0,YES,12-14,0xc8649260,,Uncategorized,,KLOG,0xc8648260;0xc864b260;0xc864d260
3,0,YES,16-22,0x081c8300,,Uncategorized,,EVIL;FINN;RUNN,0x08148300;0x081d8300;0x085c8300
3,0,YES,10-16,0x10b95810,,Uncategorized,,FINN,0x10b85810;0x10b95c10;0x10b97810
3,0,YES,11-17,0x10b95810,,Uncategorized,,FINN,0x10b91810;0x10b95010;0x10bb5810
3,0,YES,9-15,0x10b95810,,Uncategorized,,FINN,0x10b94810;0x10b95a10;0x10b9d810
3,0,YES,9-15,0x10b9581c,,Uncategorized,,FINN,0x10b9481c;0x10b95a1c;0x10b9d81c
3,0,YES,19-25,0x40ca1c10,,Uncategorized,,CAVE,0x408a1c10;0x40c21c10;0x42ca1c10
3,0,YES,21-27,0x40ca1c10,,Uncategorized,,CLOU,0x40ea1c10;0x41ca1c10;0x48ca1c10
3,1,YES,25-29,0x08ce0610,sprite:2,Uncategorized,InitPasswordEntity,CSTL;FOOD;SEVN;TMPL,0x00ce0610;0x0ace0610;0x28ce0610
3,0,YES,24-28,0x08ce0610,,Uncategorized,,CSTL;FOOD;SEVN;TMPL,0x09ce0610;0x0cce0610;0x18ce0610
3,0,YES,10-14,0x10b9581c,,Uncategorized,,FINN,0x10b9181c;0x10b9481c;0x10b95c1c
3,3,YES,2-6,0x800da112,,Boss,KloggDeathEventHandler,KLOG,0x800da102;0x800da116;0x800da152
3,0,YES,21-25,0xb0907444,,Uncategorized,,TMPL,0xb0107444;0xb0b07444;0xb2907444
3,0,YES,20-24,0xb0907444,,Uncategorized,,TMPL,0xb0807444;0xb0d07444;0xb1907444
3,1,YES,24-25,0x1cf99931,,Player,PlayerStateInit_JumpFromPlatform | Callback_80069200,BOIL;BRG1;CAVE;CLOU;CRYS,0x1cf99931;0x1df99931;0x1ef99931
3,1,YES,27-28,0x38a0c119,sprite:2,Menu/UI,InitMenuStage1,MENU,0x28a0c119;0x30a0c119;0x38a0c119
3,3,YES,11-12,0x410808f9,sprite:6,Clayball/Projectile,Callback_80051ea4 | ProjectileState_HomingActiveVariant3 | ProjectileState_HomingActiveVariant2,FOOD;TMPL,0x410800f9;0x410808f9;0x410818f9
3,0,YES,8-24,0x60a91c9c,,Uncategorized,,BRG1,0x60a91c9c;0x60a91d9c;0x61a91c9c
3,0,YES,9-25,0x60aa1c9c,,Uncategorized,,BRG1,0x60aa1c9c;0x60aa1e9c;0x62aa1c9c
3,0,YES,9-17,0x10b95810,,Uncategorized,,FINN,0x10b95a10;0x10b97810;0x10bb5810
10,0,,,0x4a2e8010,,Uncategorized,,EGGS,0x2a6e0410;0x46269090;0x492c8430;0x4a1ea052;0x4a4ec094;0x4aee0118;0x4baf8200;0x4c2a8850;0x523ea110;0x7a0ec210
10,0,,,0x522e8010,,Uncategorized,,BOIL;BRG1;CAVE;CLOU;CRYS,0x326e0410;0x4a3ea110;0x512c8430;0x524ec094;0x52ee0118;0x53af8200;0x542a8850;0x5e269090;0x620ec210;0x92af8810
8,0,,,0x40ca0c10,,Uncategorized,,CAVE,0x408a1c10;0x408a2c10;0x40c21c10;0x40c22c10;0x40da1c10;0x40da2c10;0x40ea1c10;0x40ea2c10
5,0,,,0x4a2e8010,,Uncategorized,,EGGS,0x2a6e0410;0x4a4ec094;0x4baf8200;0x4c2a8850;0x523ea110
5,0,,,0x522e8010,,Uncategorized,,BOIL;BRG1;CAVE;CLOU;CRYS,0x326e0410;0x4a3ea110;0x524ec094;0x53af8200;0x542a8850
5,0,,,0x4a2e8010,,Uncategorized,,WIZZ,0x46269090;0x492c8430;0x4a1ea052;0x4aee0118;0x7a0ec210
5,0,,,0x522e8010,,Uncategorized,,BOIL;BRG1;CAVE;CLOU;CRYS,0x512c8430;0x52ee0118;0x5e269090;0x620ec210;0x92af8810
4,0,,,0x4a2e8010,,Uncategorized,,EGGS,0x2a6e0410;0x46269090;0x4a1ea052;0x4baf8200
4,0,,,0x522e8010,,Uncategorized,,MENU,0x4a3ea110;0x512c8430;0x524ec094;0x92af8810
3,0,,,0x4a2e8010,,Uncategorized,,MEGA,0x4aee0118;0x4c2a8850;0x7a0ec210
3,0,,,0x43ae8010,,Uncategorized,,MEGA,0x4aee0118;0x53af8200;0x612c8430
3,1,,,0x400c9a1d,sprite:1,Enemy,InitEnemyAnimatedWithDeathSpawn,BOIL;BRG1;CRYS;MOSS;SCIE,0x400c989d;0x400c9a1d;0x40189a1d
3,0,,,0x522e8010,,Uncategorized,,FOOD;TMPL,0x326e0410;0x53af8200;0x5e269090
3,0,,,0x4a2e8010,,Uncategorized,,WIZZ,0x492c8430;0x4a4ec094;0x523ea110
3,0,,,0x522e8010,,Uncategorized,,BOIL;BRG1;CAVE;CLOU;CRYS,0x52ee0118;0x542a8850;0x620ec210
3,0,,,0x4a6e8010,,Uncategorized,,EGGS,0x2a6e0410;0x4a4ec094;0x4c2a8850
3,0,,,0x526e8010,,Uncategorized,,FOOD;TMPL,0x326e0410;0x524ec094;0x542a8850
3,0,,,0x4a0e8010,,Uncategorized,,WIZZ,0x492c8430;0x4a1ea052;0x7a0ec210
3,0,,,0x52ae8010,,Uncategorized,,BOIL;BRG1;CAVE;CLOU;CRYS,0x52ee0118;0x5e269090;0x92af8810
3,0,,,0x63ae8010,,Uncategorized,,FOOD;SNOW,0x612c8430;0x62ee0118;0x63af8200
3,0,,,0x42ee8010,,Uncategorized,,GLEN,0x4a4ec094;0x52ee0118;0x63af8200
