id_hex,name,popc,n_sem_cands,levels
0x00248e52,FX_KLOGG_OILY_12,9,1,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;
0x02102152,FX_CRATE_WHIPPING_06,7,1,BOIL;FOOD
0x04041001,FX_BOUNCE_LOOK_ON,4,1,WIZZ
0x0e041001,FX_SHIPMASTER_DONG_TALL,6,1,WIZZ
0x401106da,FX_IMP_DAZE_HAPPY,10,1,BOIL;CLOU;FOOD;HEAD;MEGA;PHRO;SCIE;SNOW
0x40e28045,FX_KLAY_BOB_18,9,1,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;
0x428254e2,FX_GRUB_SIGH_8,11,1,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FINN;FOOD;GLID;MOSS;
0x42c11270,FX_BIG_GUM_RIPPLE_05,10,1,CAVE
0x44d4c8d8,FX_MOTH_YUCK_BOT,13,1,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;
0x4824c0c5,FX_BUMP_LIT_TOP,10,1,MEGA
0x4ca2d240,FX_POTION_FOOT_F,11,1,KLOG
0x646c2cc0,FX_MARTIAN_SPITTING_POOPY,12,1,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FINN;FOOD;GLEN;GLID;
0x65281e40,FX_SKULLBOY_BURP_6,11,1,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FINN;FOOD;GLEN;GLID;
0x78100250,FX_FINN_SWAY_04,8,1,PHRO;SCIE
0xa0824440,FX_PIG_SLURPING_BIGFAT,7,1,FOOD
0xa2034840,FX_SLASH_READY_14,8,1,WEED
0x40c0d0e4,FX_GLEN_SPLOOSH_BAD,10,2,CAVE;EGGS;GLID;WEED
0x40c0d0e4,FX_GRUB_GALE_20,10,2,CAVE;EGGS;GLID;WEED
0x40e0824c,FX_PUFF_FALL_3,9,2,FINN
0x40e0824c,FX_PUFF_FALL_I,9,2,FINN
0x502840c3,FX_CHUBS_AH_BIGFAT,9,2,HEAD;MEGA
0x502840c3,FX_PROJECTILE_SHOCK_LO,9,2,HEAD;MEGA
0x60830860,FX_GUMS_MUMBLE_TALL,8,2,RUNN;SNOW
0x60830860,FX_MEGA_EH_LG,8,2,RUNN;SNOW
0x90810000,FX_HEAD_SHAKE_BAD,4,2,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FINN;FOOD;GLEN;GLID;
0x90810000,FX_MENU_SELECT,4,2,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FINN;FOOD;GLEN;GLID;
0x30004240,FX_KLAYMEN_RUSTLE_13,5,3,BRG1
0x30004240,FX_PIGGY_GREASY_18,5,3,BRG1
0x30004240,FX_SKULL_TAP_9,5,3,BRG1
0x4428c941,FX_KLAY_DUCK_DOWN,10,3,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;
0x4428c941,FX_MACHINE_BEND_5,10,3,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;
0x4428c941,FX_MACHINE_BEND_K,10,3,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;
0x4c02d240,FX_POTION_FOOT_2,9,3,KLOG
0x4c02d240,FX_POTION_FOOT_H,9,3,KLOG
0x4c02d240,FX_PUFF_ROARING_OK,9,3,KLOG
0xc0608a40,FX_KLAY_SIT_C,8,3,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;
0xc0608a40,FX_KLAY_WET_1,8,3,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;
0xc0608a40,FX_KLAY_WET_G,8,3,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;
0x7000c248,FX_BOSS_HEAD_BEND_18,8,7,PHRO;SCIE
0x7000c248,FX_CHEST_SM_START,8,7,PHRO;SCIE
0x7000c248,FX_PUFFER_WIN_2,8,7,PHRO;SCIE
0x7000c248,FX_PUFFER_WIN_H,8,7,PHRO;SCIE
0x7000c248,FX_SKULL_EAT,8,7,PHRO;SCIE
0x7000c248,FX_SKULL_EXIT_C,8,7,PHRO;SCIE
0x7000c248,FX_SKULLBOT_TALK_HI,8,7,PHRO;SCIE
