id_hex,name,popc,n_sem_cands,levels
0x4428c941,FX_KLAY_DUCK_DOWN,10,1,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;
0x502840c3,FX_PROJECTILE_SHOCK_LO,9,1,HEAD;MEGA
0x40e0824c,FX_PUFF_FALL_3,9,1,FINN
0x0e041001,FX_BLOW_GALE_SM,6,1,WIZZ
0x62000441,FX_LAND_CRY_1,6,1,BRG1;SOAR
0x90810000,FX_MENU_SELECT,4,1,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FINN;FOOD;GLEN;GLID;
0x7000c248,FX_SKULL_EAT,8,2,PHRO;SCIE
0x7000c248,FX_PUFFER_WIN_2,8,2,PHRO;SCIE
0x30004240,FX_SKULL_TAP_9,5,2,BRG1
0x30004240,FX_SKULL_UP,5,2,BRG1
