id_hex,tokenA,tokenB,full,score,visual_label
0x085860d4,GEM,COMMON,GEMCOMMON,15,
0x28a0c119,2,RARE,2RARE,15,
0x28a0c119,H,RARE,HRARE,15,
0x00000000,SHARD,SONGER,SHARDSONGER,5,
0x04084011,MOVIE,MURKY,MOVIEMURKY,5,
0x08089081,RAYONS,FOG,RAYONSFOG,5,
0x085860d4,UREID,COMMON,UREIDCOMMON,5,
0x088c5011,REDD,COCKY,REDDCOCKY,5,
0x088c5011,TOXIN,PORTAL,TOXINPORTAL,5,
0x08bc8013,PHAGE,MENTALMONKEY,PHAGEMENTALMONKEY,5,
0x10882010,ARALES,CSTL,ARALESCSTL,5,
0x10882010,SALADS,CSTL,SALADSCSTL,5,
0x12800031,RIGHT,BARA,RIGHTBARA,5,
0x18248010,BUSHI,FIRING,BUSHIFIRING,5,
0x1847c001,DOOZER,BANNER,DOOZERBANNER,5,
0x1847c001,VARIANT,MAPPY,VARIANTMAPPY,5,
0x1847c001,VARIANT,SKIFF,VARIANTSKIFF,5,
0x18e88510,OSPORE,MUS,OSPOREMUS,5,
0x1c8c2437,FIRING,TACKET,FIRINGTACKET,5,
0x21842018,SAGEER,05,SAGEER05,5,
0x28a0c119,24,HAEMS,24HAEMS,5,
0x28a0c119,7,MANIVA,7MANIVA,5,
0x28a0c119,D,DEMAIN,DDEMAIN,5,
0x28a0c119,GAS,WUSS,GASWUSS,5,
0x28a0c119,GIBUS,NECK,GIBUSNECK,5,
0x28a0c119,GORDO,LENSED,GORDOLENSED,5,
0x28a0c119,HEAD,HAS,HEADHAS,5,
0x28a0c119,HEAD,ISL,HEADISL,5,
0x28a0c119,HEE,HORN,HEEHORN,5,
0x28a0c119,HORNS,PANACE,HORNSPANACE,5,
0x28a0c119,LEAVER,MOVIE,LEAVERMOVIE,5,
0x28a0c119,MIDN,NEW,MIDNNEW,5,
0x28a0c119,MIRROR,NID,MIRRORNID,5,
