id_hex,score,full,role,levels,kinds,in_swap_cluster,sources
0x0ad0f813,60.0,bouser,Text: Paused,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FINN;FOOD;GLEN;GLID;HEAD;KLOG;MEGA;MENU;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,sprite|anim,0,demo
0x29c0e211,60.0,no,Text: No,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FINN;FOOD;GLEN;GLID;HEAD;KLOG;MEGA;MENU;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,sprite|anim,0,demo
0x2ad0f011,60.0,hilarious,Text: Yes,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FINN;FOOD;GLEN;GLID;HEAD;KLOG;MEGA;MENU;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,sprite|anim,0,demo
0x68c0f413,60.0,quit,Text: Quit,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FINN;FOOD;GLEN;GLID;HEAD;KLOG;MEGA;MENU;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,sprite|anim,0,demo
0x69c04050,60.0,continue,Text: Continue,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FINN;FOOD;GLEN;GLID;HEAD;KLOG;MEGA;MENU;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,sprite|anim,0,demo
0x00e2f188,55.0,SMimolinda09,Number glyph frames 0-9,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FINN;FOOD;GLEN;GLID;HEAD;KLOG;MEGA;MENU;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,sprite|anim,0,demo
0x33808e1b,55.0,SMromanium28,Menu cursor animation frame,MENU,sprite|anim,0,demo
0x69c8f473,55.0,FX_lenaeus-0,Text: Quit Game,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FINN;FOOD;GLEN;GLID;HEAD;KLOG;MEGA;MENU;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,sprite|anim,0,demo
0x080c8300,40.0,inveiglers-D,,EVIL,sprite|anim,1,beta
0x08de7215,40.0,N2_cricked01,,WIZZ,sprite|anim,1,beta
0x12800031,40.0,S_alright-C,,BOIL;CAVE;CRYS;CSTL;EGGS;GLID;MOSS;SEVN;SNOW,sprite|anim,1,demo
0x4baf8200,40.0,ENT_predividendABOVE,Shriney Guard boss yelling animation,MEGA,sprite,1,demo
0x63848e59,40.0,SM_nonsyllabic-SWIM,Menu cursor,MENU,sprite|anim,0,demo
0xa8482860,40.0,SEQazuredHIT,,MEGA,sprite|anim,1,demo
0x00000000,25.0,SFX_abstainmentRIGHT,,,type500,1,demo
0x08188300,25.0,ITEM_divisorial-2,,EVIL;FINN;RUNN,sprite|anim,1,demo
0x081c8302,25.0,ITEM_censerlessSTAND,,EVIL;FINN;RUNN,sprite|anim,1,demo
0x0ace0610,25.0,ENEMY_textbook's-ATK,,CSTL;FOOD;SEVN;TMPL,sprite|anim,1,demo
0x10f0e983,25.0,ITEM_nonforest-C,,,audio,1,demo
0x2470e0f2,25.0,S_reroutes-START,,,audio,1,beta
0x3da80d13,25.0,potentate-IDLE,,KLOG,sprite|anim,1,beta
0x40400270,25.0,SEQ_bursiform-STAND,,,audio,1,beta
0x40c22c10,25.0,SEQ_kommetje-DOWN,,SCIE,sprite|anim,1,demo
0x4c106054,25.0,N2_unloosed-HURT,,MEGA,sprite|anim,1,demo
0x082e03d8,24.0,ENEMY_martiallyATTACK,,EVIL,sprite|anim,1,beta
0x04084011,15.0,S_ecesic-SPR,,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,sprite|anim,0,demo
0x040a2110,15.0,S_antinodesC,,FINN,sprite|anim,0,demo
0x04dce858,15.0,helichryse13,,,audio,1,beta
0x08148300,15.0,S_ficheINNER,,EVIL;FINN;RUNN,sprite|anim,1,demo
0x088c5011,15.0,BOSS_acinos7,,FINN,sprite|anim,0,demo
0x08bc8013,15.0,SEQ_palled11,,KLOG,sprite|anim,0,beta
0x0a409040,15.0,S_klafterF13,,,audio,0,beta
0x0c01c014,15.0,dampen-FACE,,GLEN,sprite|anim,0,beta
0x10882010,15.0,SEQwedFRAME1,,EVIL,sprite|anim,0,beta
0x1847c001,15.0,N2_feasted-E,,,type700,0,demo
0x18e88510,15.0,SEQ_frache29,,GLEN,sprite|anim,0,beta
0x21842018,15.0,ShomilyCLIMB,,FINN,sprite|anim,0,demo
0x24002913,15.0,SM_fatuous09,,FOOD;SNOW,sprite|anim,0,demo
0x282b8491,15.0,SEQmetzler04,,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,sprite|anim,0,demo
0x28a0c119,15.0,MENU_armadaE,,MENU,sprite|anim,0,beta
0x28c080df,15.0,ENT_acaudal9,,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FINN;FOOD;GLEN;GLID;HEAD;KLOG;MEGA;MENU;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,sprite|anim,0,demo
0x28ce0610,15.0,SEQ_isobareA,,CSTL;FOOD;SEVN;TMPL,sprite|anim,0,demo
0x29808408,15.0,SM_hurlers-D,,,audio,0,demo
0x2c182010,15.0,SEQ_ramp-F09,,MEGA,sprite|anim,0,demo
0x2e809804,15.0,ENT_burans-3,,KLOG,sprite|anim,0,beta
0x3080820d,15.0,SM_haem-F05,,MENU,sprite|anim,0,beta
0x3080840d,15.0,SM_hainanLEG,,MENU,sprite|anim,0,beta
0x30a0c119,15.0,MENU_armada0,,MENU,sprite|anim,0,beta
0x38a0c119,15.0,MENU_ens-EAT,,MENU,sprite|anim,0,beta
0x39900619,15.0,SjugulateF11,,MENU,sprite|anim,0,demo
0x40b18011,15.0,SM_bardyHORN,,MENU,sprite|anim,0,beta
0x40b28011,15.0,S_clubberHIT,,MENU,sprite|anim,0,beta
0x40b48011,15.0,SM_rig-WAIT,,MENU,sprite|anim,0,beta
0x48017101,15.0,OBJ_amyrolFX,,,audio,0,beta
0x4860c074,15.0,flusker-FACE,,,audio,0,beta
0x5862f614,15.0,N2_owensANIM,,,audio,0,beta
0x606c8061,15.0,SM_jambone19,,,audio,0,beta
0x68009240,15.0,SPRplainlyNO,,,audio,0,demo
0x68c01218,15.0,SNDcirques23,,MENU,sprite|anim,0,beta
0x6ae1a244,15.0,ENT_blype-29,,,audio,0,demo
0x888da193,15.0,SapprobatorU,,KLOG,sprite|anim,0,beta
0x90810000,15.0,S_macambaF11,,,audio,0,demo
0x90c24401,15.0,ounds-FRAME6,,,audio,0,beta
0x9980d651,15.0,OBJ_glogg-19,,,audio,0,demo
0x9cc87050,15.0,SND_syntanBG,,,audio,0,demo
0xa0824440,15.0,observable05,,,audio,0,beta
0xe0c00650,15.0,SMcajanWINGS,,,audio,0,demo
0x0005c699,0.0,MENU_zhuang-F08,,MENU,sprite|anim,0,beta
0x000ac607,0.0,N2_unconvincing-TURN,,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FINN;FOOD;GLID;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED,sprite|anim,0,demo
0x000f0106,0.0,ENT_muscardinus-BACK,,,type500,0,demo
0x00100125,0.0,SM_brushier-FONT,,,type500,0,demo
0x001822d8,0.0,SEQ_enlargingly-9,,,audio,1,demo
0x00ae0046,0.0,SEQ_bibliolaters-06,,,type500,0,beta
0x00c60046,0.0,ENT_hereunder-EAST,,,type500,0,beta
0x00e49240,0.0,BOSS_cappie-INNER,,,audio,0,demo
0x02098010,0.0,ENEMY_brig's-13,,TMPL,sprite|anim,0,demo
0x02e900c0,0.0,SEQ_religionistHORNS,,,audio,0,beta
0x03ecb851,0.0,FX_molelike-ABOVE,,,audio,0,demo
0x04041001,0.0,BOSS_escalade-FLY,,,audio,0,beta
0x0408c01e,0.0,SM_beatinest-STEP,,EVIL;FOOD;MOSS;SOAR,sprite|anim,0,beta
0x04835000,0.0,ENT_martinmas-CLOSE,,RUNN,sprite|anim,0,beta
0x0628a800,0.0,SEQ_stoccata-EFX,,EGGS,sprite|anim,1,beta
0x06e0a824,0.0,bestrewment-TOLEFT,,,audio,0,demo
0x08041001,0.0,SEQ_reread-FOOT,,,audio,0,beta
0x08089081,0.0,ENEMY_bribable-LEGS,,,audio,0,beta
0x08192250,0.0,ENEMY_gascoignyGLYPH,,MEGA,sprite|anim,0,demo
0x085860d4,0.0,ENT_dispatches-DOWN,,MEGA,sprite|anim,0,demo
0x085c8300,0.0,ENEMY_kipchak-EYE,,FINN,sprite|anim,0,demo
0x08ba0250,0.0,N2_exanimates-27,,GLEN,sprite|anim,0,beta
0x09406d8a,0.0,ITEM_allergy-F12,,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;MOSS;PHRO;SCIE;SNOW;TMPL;WEED,sprite|anim,0,demo
0x09ce0610,0.0,ITEM_sporadial-HAND,,CSTL;FOOD;SEVN;TMPL,sprite|anim,1,demo
0x0a08c490,0.0,ENT_tasselet-06,,BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;GLID;MOSS;SEVN;SOAR;WEED;WIZZ,sprite|anim,0,beta
0x0a1820d4,0.0,ENEMY_archchemic-F04,,MEGA,sprite|anim,1,demo
0x0aa18900,0.0,ENEMY_namaquanBOTTOM,,KLOG,sprite|anim,0,beta
0x0aabc010,0.0,ENEMY_mazopathiaFACE,,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,sprite|anim,0,demo
0x0cce0610,0.0,ENT_geotaxes-LEGS,,CSTL;FOOD;SEVN;TMPL,sprite|anim,1,demo
0x0e041001,0.0,BOSS_grouper-WAIT,,,audio,1,beta
0x1000c042,0.0,S_blastodisc-ERASE,,,audio,0,demo
0x10904443,0.0,ITEM_leasing-17,,,audio,0,beta
0x10b95010,0.0,MENU_cytoma-FRAME6,,FINN,sprite|anim,1,demo
0x168254b5,0.0,SM_apalachee-BELLY,,FINN,sprite|anim,0,demo
0x18248010,0.0,ENT_emblemized-MENU,,KLOG,sprite|anim,1,beta
0x1828e640,0.0,SEQ_seambiter-F04,,,audio,1,demo
0x18ce0610,0.0,N2_anomie-SPAWN,,CSTL;FOOD;SEVN;TMPL,sprite|anim,0,demo
0x18e88310,0.0,ENEMY_gypsy's-UP,,GLEN,sprite|anim,0,beta
0x18e88910,0.0,ENEMY_capsumin-30,,GLEN,sprite|anim,0,beta
0x18e8c704,0.0,SEQ_xmases-FRAME2,,GLEN,sprite|anim,0,beta
0x1cf99931,0.0,SFX_dioeciouslyPUNCH,,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,sprite|anim,0,demo
0x1df99931,0.0,SFX_leses-CONTINUE,,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,sprite|anim,0,demo
0x21a81d54,0.0,ENT_trenched-FINGER,,FOOD;SNOW,sprite|anim,0,demo
0x2524e089,0.0,ITEM_prologue's-BIN,,EGGS,sprite|anim,1,beta
0x2a6e0410,0.0,ENEMY_tenpenny-EAST,,EGGS,sprite,1,beta
0x2e811804,0.0,ENT_misandries-GLIDE,,KLOG,sprite|anim,0,beta
0x2e839804,0.0,ENT_misawarding-WAIT,,KLOG,sprite|anim,0,beta
0x30004240,0.0,ENT_tamburan-F10,,,audio,0,beta
0x3099991b,0.0,MENU_anticlinorium26,,MENU,sprite|anim,0,beta
0x31190002,0.0,SND_saberbill-14,,,type700,0,beta
0x3838801a,0.0,SND_ransomfree-EYES,,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,sprite|anim,0,demo
0x392cb014,0.0,SND_atakapa-DAT,,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,sprite|anim,0,demo
0x40023e30,0.0,SM_plutella-LEGS,,,audio,0,demo
0x40106054,0.0,ENT_muradiyah-20,,MEGA,sprite|anim,0,demo
0x40489938,0.0,SM_mesenterical-F01,,CLOU;CRYS;SOAR,sprite|anim,0,beta
0x40815801,0.0,MENU_furanoid-16,,,audio,0,beta
0x408a1c10,0.0,ENEMY_stallboardNOSE,,CAVE,sprite|anim,1,beta
0x408a2c10,0.0,SEQ_reclad-BODY,,FOOD,sprite|anim,1,beta
0x408a6461,0.0,S_catilinarian-ROLL,,,audio,0,demo
0x40c0d0e4,0.0,ITEM_bronchiolesEYES,,,audio,0,beta
0x40c21c10,0.0,OBJ_gamba-ABOVE,,BRG1,sprite|anim,1,beta
0x40da1c10,0.0,SM_arrowwormBACKWARD,,FINN,sprite|anim,1,demo
0x40da2c10,0.0,SND_surpassinglyHORN,,EGGS,sprite|anim,1,beta
0x40e0824c,0.0,SM_empedoclean-FLY,,,audio,0,demo
0x40e28045,0.0,ENT_skidways-TAUNT,,,audio,0,demo
0x40e9a362,0.0,SPR_epacrid-FRAME4,,,audio,0,demo
0x40f8c274,0.0,FX_urethragraph-WEST,,,audio,0,beta
0x4148c374,0.0,MENU_countermotion07,,,audio,0,beta
0x421d1000,0.0,SEQ_litigated-TEXT,,,audio,0,beta
0x424129a1,0.0,SM_toshnail-START,,,audio,0,beta
0x425a399c,0.0,SM_protoselachiiHEAD,,BOIL;CLOU;MOSS,sprite|anim,0,demo
0x4260c8b5,0.0,S_kishambala-JUMP,,BOIL;CRYS;FOOD;HEAD;MEGA;PHRO;SCIE;SEVN;SNOW;TMPL;WEED;WIZZ,sprite|anim,0,demo
0x428a6465,0.0,SEQ_mythist-CLIMB,,,audio,0,demo
0x44c26454,0.0,ENT_yclad-BUTTON,,,audio,0,demo
0x48608484,0.0,ITEM_nonion-GLIDE,,BOIL;CRYS;FOOD;HEAD;MEGA;PHRO;SCIE;SEVN;SNOW;TMPL;WEED;WIZZ,sprite|anim,0,demo
0x48ca1c10,0.0,S_amphictyonies-F10,,CAVE;CRYS,sprite|anim,1,beta
0x48d81135,0.0,ENEMY_shrined-BELLY,,GLEN,sprite|anim,1,beta
0x49609640,0.0,BOSS_moderatos-FOOT,,,audio,0,beta
0x49a09640,0.0,ITEM_polypoid-F00,,,audio,0,beta
0x4a1ea052,0.0,SND_autocatalysis-8,,GLEN,sprite,1,beta
0x4a60ca40,0.0,MENU_pretribalFINGER,,,audio,0,demo
0x4a806042,0.0,OBJ_toneme-BACKWARD,,,audio,0,demo
0x4c02d240,0.0,N2_uphoards-FONT,,,audio,0,beta
0x4c60f249,0.0,BOSS_commentates-END,,,audio,0,demo
0x4ca2d240,0.0,N2_offward-SPAWN,,,audio,0,beta
0x50412804,0.0,ENT_haematins-SCREAM,,,type700,0,demo
0x5050c643,0.0,SNDdipicrylamineTURN,,,audio,1,demo
0x52a08394,0.0,ENT_endoscopy-07,,BOIL;FOOD;HEAD;MEGA;PHRO;SCIE;SNOW,sprite|anim,0,demo
0x5838cc16,0.0,OBJ_hostager-OUTRO,,BOIL;BRG1;CLOU;FOOD;HEAD;MEGA;PHRO;SCIE;SNOW;TMPL,sprite|anim,0,demo
0x5860c640,0.0,FX_capsulize-NOSE,,,audio,0,demo
0x5a088840,0.0,ENT_lifelessCONTINUE,,KLOG,sprite|anim,0,beta
0x5a89815f,0.0,S_semiquaver-F15,,BOIL;BRG1;CLOU;CRYS;CSTL;EVIL;FOOD;MOSS;PHRO;SCIE;SNOW;SOAR;TMPL,sprite|anim,0,demo
0x5ad9815f,0.0,SPR_corylaceae-TEETH,,BOIL;BRG1;CLOU;CRYS;CSTL;EVIL;FOOD;MOSS;PHRO;SCIE;SNOW;SOAR;TMPL,sprite|anim,0,demo
0x5d40a249,0.0,ITEM_pannoselyFRAME5,,,audio,0,demo
0x6082c120,0.0,MENU_cellulose-FX,,,audio,0,demo
0x60889602,0.0,OBJ_lycosa-ABOVE,,,audio,0,demo
0x60de1050,0.0,SFX_embracery-31,,WIZZ,sprite|anim,1,beta
0x62000441,0.0,SEQ_fiftieth-12,,,audio,0,beta
0x6220a452,0.0,SM_ovillus-NOSE,,,audio,0,beta
0x62ee0118,0.0,ENEMY_tenuis-REST,,BRG1,sprite,1,beta
0x69588258,0.0,SEQ_burgling-EXIT,,GLEN,sprite|anim,0,beta
0x7000c248,0.0,SND_dendrographyWING,,,audio,0,demo
0x70404350,0.0,N2_sinkiuse-LIMB,,,audio,0,demo
0x70d006d8,0.0,SND_trawleys-HEAD,,,audio,0,demo
0x72000210,0.0,SM_hypernomic-PUNCH,,,type700,0,beta
0x7a0ec210,0.0,SND_unpriceablyEJECT,,EGGS,sprite,1,beta
0x800da11a,0.0,SM_wormhole-WINGS,,KLOG,sprite|anim,0,beta
0x800da132,0.0,ENT_unexportableLIMB,,KLOG,sprite|anim,0,beta
0x804c881c,0.0,BOSS_adumbrating-C,,BRG1,sprite|anim,0,beta
0x81100030,0.0,ENT_unseemly-BIN,,MENU,sprite|anim,0,beta
0x8139a088,0.0,SEQ_sigmodontesEJECT,,EGGS,sprite|anim,1,beta
0x82421850,0.0,SM_bosphorus-FRAME0,,WIZZ,sprite|anim,0,beta
0x8818a018,0.0,ENEMY_gymnospermal25,,BRG1;CAVE;CRYS;CSTL;EGGS;FOOD;GLID;HEAD;MOSS;TMPL;WEED;WIZZ,sprite|anim,1,demo
0x88a16190,0.0,MENU_kettering-REAR,,SEVN,sprite|anim,1,beta
0x88a28194,0.0,ENT_filtered-DRAW,,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FINN;FOOD;GLEN;GLID;HEAD;KLOG;MEGA;MENU;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,sprite|anim,0,demo
0x8a7ce022,0.0,ENEMY_foremother-NUM,,GLID;SCIE;SOAR;TMPL,sprite|anim,0,demo
0x90805c51,0.0,OBJ_guttula-CLOSE,,,audio,0,beta
0x90a19011,0.0,ENT_terrella-CLIMB,,GLID;SCIE;SOAR;TMPL,sprite|anim,0,demo
0x9180d446,0.0,ITEM_waddlers-JUMP,,,audio,0,beta
0x91a9d01d,0.0,concupiscences-F05,,PHRO;SCIE,sprite|anim,0,demo
0x98004092,0.0,OBJ_formulator-F04,,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLEN;GLID;HEAD;KLOG;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,sprite|anim,0,demo
0x980c6211,0.0,SEQ_photodermaticF15,,CAVE;EGGS;GLID;WEED,sprite|anim,0,beta
0x98f8221e,0.0,ENT_serpentine-TAIL,,BOIL;CAVE;CRYS;CSTL;EGGS;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;TMPL;WEED,sprite|anim,1,demo
0x9940bb40,0.0,SND_homeostatic-F02,,,audio,0,demo
0xa0149114,0.0,ENT_costless-DANCE,,WIZZ,sprite|anim,0,beta
0xa0cc18d0,0.0,BOSS_shamefaced-REAR,,WIZZ,sprite|anim,0,beta
0xa0cc1cd0,0.0,SND_ridgebone-OUTER,,WIZZ,sprite|anim,0,beta
0xa628e009,0.0,SM_zoogenic-TAIL,,EGGS,sprite|anim,1,beta
0xb4011101,0.0,SND_dysphrenia-FOOT,,BRG1;PHRO;SOAR,sprite|anim,0,demo
0xbebce258,0.0,SND_coassist-EFFECT,,CSTL,sprite|anim,1,beta
0xc0099011,0.0,BOSS_arecain-EFFECT,,,audio,0,beta
0xc48c7158,0.0,BOSS_hoernesite-NECK,,EVIL,sprite|anim,1,beta
0xc864b260,0.0,BOSS_cyclizing-FALL,,,audio,0,beta
0xc864d260,0.0,BOSS_salegoer-MOUTH,,,audio,0,beta
0xc87ca082,0.0,SFX_cantabrigianNOSE,,GLID;SCIE;SOAR;TMPL,sprite|anim,0,demo
0xc8f90114,0.0,SPR_unreserve-PAUSE,,GLEN,sprite|anim,0,beta
0xd167c005,0.0,ITEM_forehooves-LEGS,,PHRO;SCIE,sprite|anim,0,demo
0xe0880448,0.0,SM_esthonianBACKWARD,,,audio,0,demo
0xe289c059,0.0,MENU_sclaffing-ATK,,MENU,sprite|anim,0,beta
0xe6830101,0.0,MENU_amazulu-18,,BRG1;PHRO;SOAR,sprite|anim,0,demo
0xf8494814,0.0,SEQ_zoosporousFRAME3,,CAVE;EGGS;GLID;WEED,sprite|anim,0,beta
