class_hex,popcount,cluster_size,id_a,id_b,role_a,role_b
0x00000003,2,112,0x006e0046,0x00ae0046,,
0x00000003,2,112,0x00ce0610,0x0cce0610,,
0x00000003,2,112,0x00ce0610,0x18ce0610,,
0x00000003,2,112,0x04041001,0x08041001,,
0x00000003,2,112,0x08041001,0x0e041001,,
0x00000003,2,112,0x080c8300,0x08148300,,
0x00000003,2,112,0x08148300,0x08188300,,
0x00000003,2,112,0x08188300,0x081e8300,,
0x00000003,2,112,0x081d8300,0x081e8300,,
0x00000003,2,112,0x09ce0610,0x0ace0610,,
0x00000003,2,112,0x0ace0610,0x0cce0610,,
0x00000003,2,112,0x0b0811bb,0x0b081dbb,,
0x00000003,2,112,0x10b85810,0x10b9d810,,
0x00000003,2,112,0x10b85810,0x10bb5810,,
0x00000003,2,112,0x10b91810,0x10b9181c,,
0x00000003,2,112,0x10b91810,0x10b97810,,
0x00000003,2,112,0x10b91810,0x10b9d810,,
0x00000003,2,112,0x10b9181c,0x10b9781c,,
0x00000003,2,112,0x10b9181c,0x10b9d81c,,
0x00000003,2,112,0x10b94810,0x10b9481c,,
0x00000003,2,112,0x10b94810,0x10b95010,,
0x00000003,2,112,0x10b94810,0x10b97810,,
0x00000003,2,112,0x10b9481c,0x10b9501c,,
0x00000003,2,112,0x10b9481c,0x10b9781c,,
0x00000003,2,112,0x10b95010,0x10b9501c,,
0x00000003,2,112,0x10b95010,0x10b95c10,,
0x00000003,2,112,0x10b9501c,0x10b95c1c,,
0x00000003,2,112,0x10b95a10,0x10b95a1c,,
0x00000003,2,112,0x10b95a10,0x10b95c10,,
0x00000003,2,112,0x10b95a1c,0x10b95c1c,,
0x00000003,2,112,0x10b95c10,0x10b95c1c,,
0x00000003,2,112,0x10b97810,0x10b9781c,,
0x00000003,2,112,0x10b9d810,0x10b9d81c,,
0x00000003,2,112,0x18ce0610,0x28ce0610,,
0x00000003,2,112,0x18e88310,0x18e88510,,
0x00000003,2,112,0x18e88510,0x18e88910,,
0x00000003,2,112,0x1df99931,0x1ef99931,,
0x00000003,2,112,0x28a0c119,0x30a0c119,,
0x00000003,2,112,0x2a6e0410,0x326e0410,,
0x00000003,2,112,0x2e809804,0x2e811804,,
0x00000003,2,112,0x2e809804,0x2e839804,,
0x00000003,2,112,0x302010c4,0x302016c4,,
0x00000003,2,112,0x3080820d,0x3080840d,,
0x00000003,2,112,0x3080820d,0x30808e0d,,
0x00000003,2,112,0x3a186940,0x3a186980,,
0x00000003,2,112,0x400c989d,0x400c991d,,
0x00000003,2,112,0x400c991d,0x400c9a1d,,
0x00000003,2,112,0x40106054,0x4c106054,,
0x00000003,2,112,0x407801d0,0x407801dc,,
0x00000003,2,112,0x408a1c10,0x408a2c10,,
0x00000003,2,112,0x408a1c10,0x40ea1c10,,
0x00000003,2,112,0x408a2c10,0x40ea2c10,,
0x00000003,2,112,0x40b18011,0x40b28011,,
0x00000003,2,112,0x40b28011,0x40b48011,,
0x00000003,2,112,0x40c21c10,0x40c22c10,,
0x00000003,2,112,0x40c21c10,0x40da1c10,,
0x00000003,2,112,0x40c22c10,0x40da2c10,,
0x00000003,2,112,0x40da1c10,0x40da2c10,,
0x00000003,2,112,0x40da1c10,0x40ea1c10,,
0x00000003,2,112,0x40da2c10,0x40ea2c10,,
0x00000003,2,112,0x40ea1c10,0x40ea2c10,,
