id_hex,n_candidates,candidates,popcount,kinds
0x00000000,112,1TAWRONGING;33AHEADWEAR;33BLENIFY;33PBAWDSHIP;3IAHEADWEAR;3IBLENIFY;3IPBAWDSHIP;3RETHEROPOD;3S3NANPIE;3SINANPIE;3YQAURAMINE;3YZWAGERS;4XQINJURERS;604WRONGREL;60JWRONGREL;6F4WRONGREL;6FJWRONGREL;6V1SWALLOWS;6VGSWALLOWS;7U1DOWAGERS,0,type500
0x0005c699,2,2DPSHINDIGS;HDPSHINDIGS,10,sprite|anim
0x00388110,4,BQ2AVGASSES;BQHAVGASSES;S9YAVGASSES;SOYAVGASSES,6,sprite|anim
0x00e2f188,10,28DFLAUGHT;2NDFLAUGHT;2XVDRAUGHT;ECXLAUGHED;EU0LAUGHER;EUFLAUGHER;H8DFLAUGHT;HNDFLAUGHT;HXVDRAUGHT;VRRFLAUGHT,11,sprite|anim
0x00e49240,9,8C9SOUNDBOX;8COSOUNDBOX;8T3GAMELION;8TIGAMELION;NC9SOUNDBOX;NCOSOUNDBOX;NT3GAMELION;NTIGAMELION;QAYHOLLOWER,8,audio
0x02098010,4,BS3BEMIXED;BSIBEMIXED;U3TPYXIDES;UITPYXIDES,5,sprite|anim
0x0220a173,6,4R0DESUGARS;4RFDESUGARS;5SBBYRONIST;JR0DESUGARS;JRFDESUGARS;KSBBYRONIST,10,audio
0x0244655d,1,TWDYOKEWOOD,12,sprite|anim
0x03ecb851,1,ZDUOUTFOXES,14,audio
0x04041001,11,329REDACTOR;32OREDACTOR;3H9REDACTOR;3HOREDACTOR;I29REDACTOR;I2OREDACTOR;IH9REDACTOR;IHOREDACTOR;QB6UNPINNED;QBLUNPINNED;QXWREDACTOR,4,audio
0x04084011,25,AW4PIACULA;AWJPIACULA;BP0ABACATE;BPFABACATE;BVYCHUNARI;BZXGERMY;R0DCUNYE;RFDCUNYE;RPVABACATE;SEZMULSIFY;TCAGARIGUE;TD1CUDWEED;TD4YARDMAN;TDGCUDWEED;TDJYARDMAN;WECUNPEACE;X3APIACULA;X49CHUNARI;X4OCHUNARI;XDCSIBERIC,5,sprite|anim
0x040a2110,8,ES2SHAFTING;ESHSHAFTING;VE1RHINEURA;VEGRHINEURA;X1THEMOZOON;XCADENOTING;XCXANTINODE;XGTHEMOZOON,6,sprite|anim
0x04835000,6,Q8AVENISONS;Q8WOVERBUYS;QNAVENISONS;QNWOVERBUYS;RC4UNCLOVEN;RCJUNCLOVEN,6,sprite|anim
0x04dce858,18,2WCIMAGERY;BW9HOLLIES;BWOHOLLIES;ECPSTAYING;HWCIMAGERY;P15INFIXES;P1KINFIXES;P90SPOKING;P9FSPOKING;PG5INFIXES;PGKINFIXES;PO0SPOKING;POFSPOKING;WYRINFIXES;Y30HOLLIES;Y3FHOLLIES;YI0HOLLIES;YIFHOLLIES,13,audio
0x08041001,22,3ECBACKYARD;8CXJACKYARD;B9CUNDERAID;BOCUNDERAID;BPBUNDAUB;IECBACKYARD;NCXJACKYARD;Q08MAHJONGS;Q0NMAHJONGS;QAENONGRAIN;QF8MAHJONGS;QFNMAHJONGS;QQRUNDERAID;R3ALIBATORY;RIALIBATORY;RP9CURSEDER;RPOCURSEDER;RPRUNDAUB;S9PVANDALIC;SOPVANDALIC,4,audio
0x08089081,11,4RWOPINABLY;BQECAMIZE;JRWOPINABLY;QA3NOTEBOOK;QAINOTEBOOK;R4UBETONY;RJUBETONY;RP9BETONS;RPOBETONS;S9VCAMIZE;SOVCAMIZE,6,audio
0x080c8300,29,7UZINDAZINE;8E9UNSCREWS;8EOUNSCREWS;B59INDAZINE;B5OINDAZINE;BK9INDAZINE;BKOINDAZINE;BPADEMOCRAW;E7ADEMOCRAT;EMADEMOCRAT;ESUOVERJOYS;MUZINDAZINE;NE9UNSCREWS;NEOUNSCREWS;RPQDEMOCRAW;RS8DEMOCRAT;RSNDEMOCRAT;S30UNSUNNED;S3FUNSUNNED;S3VINDULINS,6,sprite|anim
0x08148300,9,ETTOVERJOYS;EV1LEFTOVER;EVGLEFTOVER;Y62OVERJOYS;Y6HOVERJOYS;YB1UNHEAVEN;YBGUNHEAVEN;YL2OVERJOYS;YLHOVERJOYS,6,sprite|anim
0x08208902,10,7UQGANGLIAL;B50GANGLIAL;B5FGANGLIAL;BK0GANGLIAL;BKFGANGLIAL;MUQGANGLIAL;R35GUGGLING;R3KGUGGLING;RI5GUGGLING;RIKGUGGLING,6,sprite|anim
0x085860d4,161,0AUPHRENICS;0V9ALMANNER;0VOALMANNER;1E6ALONZO;1E7COMMON;1ELALONZO;1EMCOMMON;1RCSIMONIAC;1U0UNOCULAR;1UFUNOCULAR;2CZSOUFFLES;2PTMOTIONED;44QENDOWERS;4JQENDOWERS;4R5COLONIAL;4RKCOLONIAL;5A7COMMONED;5AMCOMMONED;5Q3GLAIRS;5Q4FLORICAN,10,sprite|anim
0x085c8300,14,3SRINNOVATE;790UNNEAPED;79FUNNEAPED;7O0UNNEAPED;7OFUNNEAPED;ES4LEFTOVER;ESJLEFTOVER;ISRINNOVATE;M90UNNEAPED;M9FUNNEAPED;MO0UNNEAPED;MOFUNNEAPED;XA3UNHEAVEN;XAIUNHEAVEN,8,sprite|anim
0x08624580,4,6P7QUENCHED;6PMQUENCHED;LP7QUENCHED;LPMQUENCHED,8,sprite|anim
0x088c5011,164,178PILPAY;17NPILPAY;1M8PILPAY;1MNPILPAY;2ZRCAZIMI;330JOCUND;33FJOCUND;3I0JOCUND;3IFJOCUND;3YRCROWBAIT;538MISFAITH;53NMISFAITH;5I8MISFAITH;5INMISFAITH;628PEACHIER;62NPEACHIER;6H8PEACHIER;6HNPEACHIER;925ANABOLIC;92KANABOLIC,8,sprite|anim
0x08bc8013,29,BP3OPPIDANS;BPIOPPIDANS;BWRGEOTAXES;BYXEMMENTAL;R2YHOMAROID;RHYHOMAROID;RPYOPPIDANS;S12DRAYED;S1HDRAYED;SE4WALLED;SE9POTAGERY;SEJWALLED;SEOPOTAGERY;SG2DRAYED;SGHDRAYED;WA4WALLAH;WAJWALLAH;WAZASSAHY;WAZASSAULTS;XAAYODLED,10,sprite|anim
0x08de7215,19,1PAAUTOCOSM;1PAYELLOWED;80DAEDOEAGI;8FDAEDOEAGI;GPAAUTOCOSM;GPAYELLOWED;N0DAEDOEAGI;NFDAEDOEAGI;TD9JELLIB;TDOJELLIB;TZ4AEDOEAGI;TZJAEDOEAGI;UABAUTOCARP;WPQAUTOCOSM;WPQYELLOWED;Y8QMONTANIC;Y8QSINICIZE;YNQMONTANIC;YNQSINICIZE,14,sprite|anim
0x0a08c490,23,667EXPIABLE;66MEXPIABLE;6L7EXPIABLE;6LMEXPIABLE;6VCRESIFTED;6VVDRAVIDIC;B46DRAVIDIC;B4LDRAVIDIC;B4YRESIFTED;BJ6DRAVIDIC;BJLDRAVIDIC;BJYRESIFTED;BVCWARNISON;EWVPYCNOTIC;L67EXPIABLE;L6MEXPIABLE;LL7EXPIABLE;LLMEXPIABLE;LVCRESIFTED;LVVDRAVIDIC,8,sprite|anim
0x0a3a4051,2,BPDBABYHOOD;RPTBABYHOOD,10,sprite|anim
0x0a409040,51,325FIGARY;32KFIGARY;33YWOMBSIDE;39ZPOKINESS;3B1SNOOKUMS;3BGSNOOKUMS;3BQBURLAP;3H5FIGARY;3HKFIGARY;3IYWOMBSIDE;3OZPOKINESS;505WOUNDILY;50KWOUNDILY;5F5WOUNDILY;5FKWOUNDILY;BTUSTARLESS;EDBVAPORIUM;I25FIGARY;I2KFIGARY;I3YWOMBSIDE,6,audio
0x0aa18900,2,B5QTARKEEAN;BKQTARKEEAN,8,sprite|anim
0x0aabc010,10,AW3ATOMIZED;AWIATOMIZED;BV7MIDWIVED;BVMMIDWIVED;DT4BROMIZED;DTJBROMIZED;UC0OUTDARES;UCFOUTDARES;X4CMIDWIVED;XJCMIDWIVED,10,sprite|anim
0x0c01c014,18,1XSIGNLIKE;1XVGIMPY;BCPRUVID;BEEFIZGIGS;BS0LUCARNE;BSFLUCARNE;ECWSCRUFFS;EVDSCRUF;GXSIGNLIKE;GXVGIMPY;U0DSUBSIDY;U40MIAOWED;U4FMIAOWED;U7YLUCARNE;UFDSUBSIDY;UJ0MIAOWED;UJFMIAOWED;UMYLUCARNE,7,sprite|anim
0x0cce0610,6,8T7CENOBITE;8TMCENOBITE;B6ACENOBITE;BLACENOBITE;NT7CENOBITE;NTMCENOBITE,10,sprite|anim
0x0e041001,2,S2AUNSPRUNG;SHAUNSPRUNG,6,audio
0x1000c042,6,5WPINWEAVE;B31INWEAVE;B3GINWEAVE;BI1INWEAVE;BIGINWEAVE;KWPINWEAVE,5,audio
0x10882010,127,5PPHALESIA;5Z8ANIMIZE;5ZNANIMIZE;612QUARLES;61HQUARLES;691VIRALLY;69GVIRALLY;6G2QUARLES;6GHQUARLES;6O1VIRALLY;6OGVIRALLY;9D2TELESIA;9DHTELESIA;AAVMNAGE;AVISOCRACY;AZXORLES;BC8HEXIS;BCNHEXIS;BCVETHERED;BDUFEMALES,5,sprite|anim
0x10904443,11,358WHEEDLER;35NWHEEDLER;3K8WHEEDLER;3KNWHEEDLER;5UASEIDLITZ;I58WHEEDLER;I5NWHEEDLER;IK8WHEEDLER;IKNWHEEDLER;KUASEIDLITZ;TUYWHEEDLER,8,audio
0x10f0e983,2,0CWLATANIA;FCWLATANIA,13,audio
0x12800031,24,444TANZEB;446BYWORK;44JTANZEB;44LBYWORK;4J4TANZEB;4J6BYWORK;4JJTANZEB;4JLBYWORK;ARALRIGHT;AYYAFFRIGHT;J44TANZEB;J46BYWORK;J4JTANZEB;J4LBYWORK;JJ4TANZEB;JJ6BYWORK;JJJTANZEB;JJLBYWORK;TVTTANZEB;TVVBYWORK,6,sprite|anim
0x146ce002,3,0ZXBECURSED;BZCBETONIES;FZXBECURSED,10,audio
0x18248010,59,16RREVOYAGE;1LRREVOYAGE;423JUBEROUS;42IJUBEROUS;4H3JUBEROUS;4HIJUBEROUS;4QWPUCKERER;4QWSUBEROUS;AAXKNIVED;AQAOXBIRD;AR2OXPECKER;ARHOXPECKER;AY5MADEFY;AYKMADEFY;AYVBARRETRY;AZ1PEEING;AZGPEEING;BQ1AEROVIEW;BQGAEROVIEW;BXAWARREE,6,sprite|anim
0x1828e640,5,BXUMEDIMNOS;Z27MEDIMNOS;Z2MMEDIMNOS;ZH7MEDIMNOS;ZHMMEDIMNOS,10,audio
0x1847c001,141,339TALLIER;33OTALLIER;361FURIOUS;367PERSEUS;36GFURIOUS;36MPERSEUS;38EVOTAL;3I9TALLIER;3IOTALLIER;3L1FURIOUS;3L7PERSEUS;3LGFURIOUS;3LMPERSEUS;3NEVOTAL;3XTALGIERS;4R0SLUTHER;4RFSLUTHER;5VASAUGERS;79QTATARIC;7OQTATARIC,9,type700
0x18ce0610,28,826UNMANNED;82LUNMANNED;83XCORANTOS;8EABORAZONS;8H6UNMANNED;8HLUNMANNED;8IXCORANTOS;8TPDONDAINE;9EDVERMOULU;B6DDONDAINE;BLDDONDAINE;N26UNMANNED;N2LUNMANNED;N3XCORANTOS;NEABORAZONS;NH6UNMANNED;NHLUNMANNED;NIXCORANTOS;NTPDONDAINE;OEDVERMOULU,10,sprite|anim
0x18e88310,94,242STAFFERS;24HSTAFFERS;2J2STAFFERS;2JHSTAFFERS;759STYLOPOD;75OSTYLOPOD;7K9STYLOPOD;7KOSTYLOPOD;84BSTROPS;8JBSTROPS;8TPOREMUS;8TXGREATEST;8W8EUTROPHY;8WNEUTROPHY;8WSUMSTROKE;9R6MUSCIDAE;9RLMUSCIDAE;AD7FOSSULET;ADMFOSSULET;AWBKHULDA,10,sprite|anim
