sound_name,sound_id,function,sprite_id,sprite_status
FX_MENU_SELECT,0x90810000,ToggleMenuOptionState,0x69c8f473,verified
FX_MENU_SELECT,0x90810000,ToggleMenuOptionState,0x2ad0f011,verified
FX_MENU_SELECT,0x90810000,ToggleMenuOptionState,0x29c0e211,verified
FX_MENU_SELECT,0x90810000,ToggleMenuOptionState,0x0ad0f813,verified
FX_MENU_SELECT,0x90810000,ToggleMenuOptionState,0x69c04050,verified
FX_MENU_SELECT,0x90810000,ToggleMenuOptionState,0x68c0f413,verified
FX_PICKUP_GLIDEY,0x6082c120,InitYellowBirdCollectible,0xc87ca082,uncracked
FX_PICKUP_ONE_UP,0x428254e2,InitTransparentDecorEntity,0xa9240484,uncracked
FX_PICKUP_PHOENIX,0x44c26454,InitPhoenixHandCollectible,0x9158a0f6,uncracked
FX_PICKUP_FARTHEAD,0xc0034658,InitPhartHeadCollectible,0x8c510186,uncracked
FX_PICKUP_FARTHEAD,0xc0034658,InitPhartHeadCollectible,0xa9240484,uncracked
FX_PICKUP_UNIVERSE_ENEMA,0xc88a346a,InitUniverseEnemaCollectible,0x6a351094,uncracked
FX_PICKUP_GROW,0x40864668,InitScaleResetCollectible,0x8c30008c,uncracked
FX_PICKUP_1970_03,0x428a6465,Init1970IconEntity,0x88a28194,uncracked
FX_PICKUP_1970,0x408a6461,Init1970IconEntity,0x88a28194,uncracked
FX_PICKUP_SUPER_WILLIE,0xe48744c4,InitSuperWillieCollectible,0x902c0002,uncracked
FX_KLAY_FOOTSTEP_QUIET,0x44d4c8d8,InitEntityState_Idle,0x60181a0c,uncracked
FX_KLAY_FOOTSTEP_QUIET,0x44d4c8d8,InitEnemyAnimatedWithDeathSpawn,0x400c9a1d,uncracked
FX_GUM_PIERCE_DN,0xc00200c9,ShrineyGuardSetAttackState,0x4c106054,uncracked
FX_GUM_PIERCE_DN,0xc00200c9,ShrineyGuardSetAttackState,0x40106054,uncracked
FX_BOSS_HEAD_IDLE_01,0x603588e8,JoeHeadJoeCheckPlayerInAttackRange,0x0b290ba2,uncracked
FX_BOSS_HEAD_IDLE_01,0x603588e8,JoeHeadJoeSetIdleState,0x0b290ba2,uncracked
FX_SKULL_GRUNT_01,0xf2810224,JoeHeadJoeEnterActiveState,0x1a3109b2,uncracked
FX_BOSS_HEAD_IDLE_01,0x603588e8,JoeHeadJoeEnterActiveState,0x1a3109b2,uncracked
FX_SKULL_GRUNT_01,0xf2810224,JoeHeadJoeMoveAndCheckAttack,0x0e3889be,uncracked
FX_SKULL_GRUNT_01,0xf2810224,JoeHeadJoeMoveAndCheckAttack,0x0b290ba2,uncracked
FX_BOSS_HEAD_IDLE_01,0x603588e8,JoeHeadJoeMoveAndCheckAttack,0x0e3889be,uncracked
FX_BOSS_HEAD_IDLE_01,0x603588e8,JoeHeadJoeMoveAndCheckAttack,0x0b290ba2,uncracked
FX_KLAY_RUN_FAST,0x00248e52,PlayerState_Jump,0x092b8480,uncracked
FX_MENU_SELECT,0x90810000,MenuDeactivateButton,0x39900619,uncracked
FX_MENU_SELECT,0x90810000,Menu_PlayConfirmSound,0x10094096,uncracked
FX_MENU_SELECT,0x90810000,Menu_PlayConfirmSound,0x63848e59,uncracked
FX_MENU_SELECT,0x90810000,FINN_ClearSubentityState,0x39900619,uncracked
FX_MENU_SELECT,0x90810000,Menu_PlayConfirmSoundIfEnabled,0x10094096,uncracked
FX_MENU_SELECT,0x90810000,Menu_PlayConfirmSoundIfEnabled,0x63848e59,uncracked
