slot,addr,id_hex,popcount,known_status,known_name,new_to_csv
12,0x8009b174,0x0ad0f813,13,verified,PAUSED,
13,0x8009b178,0x69c8f473,17,verified,QUIT GAME,
15,0x8009b180,0x69c04050,9,verified,CONTINUE,
16,0x8009b184,0x2ad0f011,12,verified,YES,
18,0x8009b18c,0x68c0f413,13,verified,QUIT,
19,0x8009b190,0x29c0e211,11,verified,NO,
29,0x8009b1b8,0x03070501,8,,,NEW (not in cracked_names.csv)
45,0x8009b1f8,0x4a020707,10,,,NEW (not in cracked_names.csv)
46,0x8009b1fc,0x16070707,12,,,NEW (not in cracked_names.csv)
47,0x8009b200,0x3d4b090b,14,,,NEW (not in cracked_names.csv)
48,0x8009b204,0x17074819,12,,,NEW (not in cracked_names.csv)
49,0x8009b208,0x07070707,12,,,NEW (not in cracked_names.csv)
50,0x8009b20c,0x45070707,12,,,NEW (not in cracked_names.csv)
52,0x8009b214,0x91106183,10,uncracked,,
53,0x8009b218,0x980861a3,11,uncracked,,
54,0x8009b21c,0x880161a7,11,uncracked,,
55,0x8009b220,0x09406d8a,11,uncracked,,
57,0x8009b228,0xa9228088,9,verified-anchor,<PREFIX>HAMSTER,
58,0x8009b22c,0x093080c8,8,uncracked,,
60,0x8009b234,0xfa700ce7,17,uncracked,,
61,0x8009b238,0xbb781481,14,uncracked,,
64,0x8009b244,0xffff0002,17,,,NEW (not in cracked_names.csv)
65,0x8009b248,0xffff0006,18,,,NEW (not in cracked_names.csv)
72,0x8009b264,0x002d000f,8,,,NEW (not in cracked_names.csv)
74,0x8009b26c,0x0033fff6,18,,,NEW (not in cracked_names.csv)
75,0x8009b270,0x0030ffe8,14,,,NEW (not in cracked_names.csv)
76,0x8009b274,0x002bffdb,18,,,NEW (not in cracked_names.csv)
77,0x8009b278,0x0024ffd0,13,,,NEW (not in cracked_names.csv)
78,0x8009b27c,0x001bffc3,16,,,NEW (not in cracked_names.csv)
79,0x8009b280,0x0011ffba,15,,,NEW (not in cracked_names.csv)
80,0x8009b284,0x0005ffb0,13,,,NEW (not in cracked_names.csv)
81,0x8009b288,0xfffaffa7,27,,,NEW (not in cracked_names.csv)
82,0x8009b28c,0xffeaff9d,26,,,NEW (not in cracked_names.csv)
83,0x8009b290,0xffdcff96,25,,,NEW (not in cracked_names.csv)
84,0x8009b294,0xffcbff8f,26,,,NEW (not in cracked_names.csv)
85,0x8009b298,0xffbbff89,25,,,NEW (not in cracked_names.csv)
86,0x8009b29c,0xffabff85,24,,,NEW (not in cracked_names.csv)
87,0x8009b2a0,0xff9bff82,23,,,NEW (not in cracked_names.csv)
88,0x8009b2a4,0xff94ff81,21,,,NEW (not in cracked_names.csv)
89,0x8009b2a8,0xff8dff81,22,,,NEW (not in cracked_names.csv)
90,0x8009b2ac,0xff89ff80,20,,,NEW (not in cracked_names.csv)
91,0x8009b2b0,0xff86ff80,20,,,NEW (not in cracked_names.csv)
92,0x8009b2b4,0xff84ff80,19,,,NEW (not in cracked_names.csv)
93,0x8009b2b8,0xff82ff80,19,,,NEW (not in cracked_names.csv)
94,0x8009b2bc,0xff81ff80,19,,,NEW (not in cracked_names.csv)
95,0x8009b2c0,0xff80ff80,18,,,NEW (not in cracked_names.csv)
96,0x8009b2c4,0xfffefffa,29,,,NEW (not in cracked_names.csv)
98,0x8009b2cc,0xfffa0007,17,,,NEW (not in cracked_names.csv)
99,0x8009b2d0,0xfffd0017,19,,,NEW (not in cracked_names.csv)
101,0x8009b2d8,0x081d8300,8,uncracked,,
102,0x8009b2dc,0x081d8300,8,uncracked,,
103,0x8009b2e0,0x08188300,6,uncracked,,
104,0x8009b2e4,0x081e8300,8,uncracked,,
105,0x8009b2e8,0x081e8300,8,uncracked,,
106,0x8009b2ec,0x081c8302,8,uncracked,,
107,0x8009b2f0,0x081c8302,8,uncracked,,
108,0x8009b2f4,0x081c8302,8,uncracked,,
