class_hex,class_pop,cluster_size,pairs_role_labeled,suffix_a,suffix_b,v_hex,sample_role_ids
0x00283063,8,20,5,ARM00,UP2,0x00283063,0x4baf8200=Shriney Guard boss yelling animation | 0x4a3ea110=Menu door opens to reveal monkey animation | 0x4aee0118=Shriney Guard boss slamming down animation
0x00283063,8,20,5,ARM01,UP1,0x00283063,0x4baf8200=Shriney Guard boss yelling animation | 0x4a3ea110=Menu door opens to reveal monkey animation | 0x4aee0118=Shriney Guard boss slamming down animation
0x00283063,8,20,5,ATK01,EGG,0x00283063,0x4baf8200=Shriney Guard boss yelling animation | 0x4a3ea110=Menu door opens to reveal monkey animation | 0x4aee0118=Shriney Guard boss slamming down animation
0x00283063,8,20,5,BG25,HUD8,0x30028306,0x4baf8200=Shriney Guard boss yelling animation | 0x4a3ea110=Menu door opens to reveal monkey animation | 0x4aee0118=Shriney Guard boss slamming down animation
0x00283063,8,20,5,BOX07,HUD,0x30028306,0x4baf8200=Shriney Guard boss yelling animation | 0x4a3ea110=Menu door opens to reveal monkey animation | 0x4aee0118=Shriney Guard boss slamming down animation
0x00283063,8,20,5,ATK6,EAST00,0x00283063,0x4baf8200=Shriney Guard boss yelling animation | 0x4a3ea110=Menu door opens to reveal monkey animation | 0x4aee0118=Shriney Guard boss slamming down animation
0x00283063,8,20,5,ATKEAST,L10,0x00283063,0x4baf8200=Shriney Guard boss yelling animation | 0x4a3ea110=Menu door opens to reveal monkey animation | 0x4aee0118=Shriney Guard boss slamming down animation
0x00283063,8,20,5,ATKL,EAST00,0x00283063,0x4baf8200=Shriney Guard boss yelling animation | 0x4a3ea110=Menu door opens to reveal monkey animation | 0x4aee0118=Shriney Guard boss slamming down animation
0x00283063,8,20,5,BELOWB,FLYA,0x0a0c18c0,0x4baf8200=Shriney Guard boss yelling animation | 0x4a3ea110=Menu door opens to reveal monkey animation | 0x4aee0118=Shriney Guard boss slamming down animation
0x00283063,8,20,5,BG06,WEST25,0x18c00a0c,0x4baf8200=Shriney Guard boss yelling animation | 0x4a3ea110=Menu door opens to reveal monkey animation | 0x4aee0118=Shriney Guard boss slamming down animation
0x00283063,8,20,5,BGR,NOERASE,0x28306300,0x4baf8200=Shriney Guard boss yelling animation | 0x4a3ea110=Menu door opens to reveal monkey animation | 0x4aee0118=Shriney Guard boss slamming down animation
0x00283063,8,20,5,1970S,SOUTH26,0x18c00a0c,0x4baf8200=Shriney Guard boss yelling animation | 0x4a3ea110=Menu door opens to reveal monkey animation | 0x4aee0118=Shriney Guard boss slamming down animation
0x00283063,8,20,5,BAREAT,CENTER,0x0c600506,0x4baf8200=Shriney Guard boss yelling animation | 0x4a3ea110=Menu door opens to reveal monkey animation | 0x4aee0118=Shriney Guard boss slamming down animation
0x00283063,8,20,5,BOX00,HUDTURN,0x30028306,0x4baf8200=Shriney Guard boss yelling animation | 0x4a3ea110=Menu door opens to reveal monkey animation | 0x4aee0118=Shriney Guard boss slamming down animation
0x00283063,8,20,5,BOX24,NOERASE,0x28306300,0x4baf8200=Shriney Guard boss yelling animation | 0x4a3ea110=Menu door opens to reveal monkey animation | 0x4aee0118=Shriney Guard boss slamming down animation
0x00283063,8,20,5,BOXFALL,HUD12,0x30028306,0x4baf8200=Shriney Guard boss yelling animation | 0x4a3ea110=Menu door opens to reveal monkey animation | 0x4aee0118=Shriney Guard boss slamming down animation
0x00283063,8,20,5,BROW20,STEP14,0x14183180,0x4baf8200=Shriney Guard boss yelling animation | 0x4a3ea110=Menu door opens to reveal monkey animation | 0x4aee0118=Shriney Guard boss slamming down animation
0x00283063,8,20,5,BROW34,STEP00,0x14183180,0x4baf8200=Shriney Guard boss yelling animation | 0x4a3ea110=Menu door opens to reveal monkey animation | 0x4aee0118=Shriney Guard boss slamming down animation
0x00283063,8,20,5,ABOVE00,SLIDE15,0x83063002,0x4baf8200=Shriney Guard boss yelling animation | 0x4a3ea110=Menu door opens to reveal monkey animation | 0x4aee0118=Shriney Guard boss slamming down animation
0x00283063,8,20,5,BELOW33,LOGOATK,0x0a0c18c0,0x4baf8200=Shriney Guard boss yelling animation | 0x4a3ea110=Menu door opens to reveal monkey animation | 0x4aee0118=Shriney Guard boss slamming down animation
0x00283063,8,20,5,BONUS09,SLIDE32,0x14183180,0x4baf8200=Shriney Guard boss yelling animation | 0x4a3ea110=Menu door opens to reveal monkey animation | 0x4aee0118=Shriney Guard boss slamming down animation
0x00283063,8,20,5,BOX23,HORNSLEFT,0x0c600506,0x4baf8200=Shriney Guard boss yelling animation | 0x4a3ea110=Menu door opens to reveal monkey animation | 0x4aee0118=Shriney Guard boss slamming down animation
0x00283063,8,20,5,BOX25,FIRESOUTH,0x30028306,0x4baf8200=Shriney Guard boss yelling animation | 0x4a3ea110=Menu door opens to reveal monkey animation | 0x4aee0118=Shriney Guard boss slamming down animation
0x00283063,8,20,5,CENTER24,DOWN39,0x01418318,0x4baf8200=Shriney Guard boss yelling animation | 0x4a3ea110=Menu door opens to reveal monkey animation | 0x4aee0118=Shriney Guard boss slamming down animation
0x00283063,8,20,5,BACKSWIM,TODOWN07,0x005060c6,0x4baf8200=Shriney Guard boss yelling animation | 0x4a3ea110=Menu door opens to reveal monkey animation | 0x4aee0118=Shriney Guard boss slamming down animation
0x00283063,8,20,5,BELOW11,MAINMENU2,0x060c6005,0x4baf8200=Shriney Guard boss yelling animation | 0x4a3ea110=Menu door opens to reveal monkey animation | 0x4aee0118=Shriney Guard boss slamming down animation
0x00283063,8,20,5,BELOW3,MAINMENU01,0x060c6005,0x4baf8200=Shriney Guard boss yelling animation | 0x4a3ea110=Menu door opens to reveal monkey animation | 0x4aee0118=Shriney Guard boss slamming down animation
0x00283063,8,20,5,BELOW9,FROMLEFT00,0x83180141,0x4baf8200=Shriney Guard boss yelling animation | 0x4a3ea110=Menu door opens to reveal monkey animation | 0x4aee0118=Shriney Guard boss slamming down animation
0x00283063,8,20,5,BELOWSLAM,FRAME13,0x0a0c18c0,0x4baf8200=Shriney Guard boss yelling animation | 0x4a3ea110=Menu door opens to reveal monkey animation | 0x4aee0118=Shriney Guard boss slamming down animation
0x00283063,8,20,5,BONEFORWARD,SKINR,0xc00a0c18,0x4baf8200=Shriney Guard boss yelling animation | 0x4a3ea110=Menu door opens to reveal monkey animation | 0x4aee0118=Shriney Guard boss slamming down animation
0x00283063,8,20,5,BORDER3,CLOCKPLAT,0x30028306,0x4baf8200=Shriney Guard boss yelling animation | 0x4a3ea110=Menu door opens to reveal monkey animation | 0x4aee0118=Shriney Guard boss slamming down animation
0x00283063,8,20,5,BACK21,SLAMMEDNORTH,0x060c6005,0x4baf8200=Shriney Guard boss yelling animation | 0x4a3ea110=Menu door opens to reveal monkey animation | 0x4aee0118=Shriney Guard boss slamming down animation
0x00283063,8,20,5,BANNERTOP,VICTORY07,0x02830630,0x4baf8200=Shriney Guard boss yelling animation | 0x4a3ea110=Menu door opens to reveal monkey animation | 0x4aee0118=Shriney Guard boss slamming down animation
0x00283063,8,20,5,BLOWING14,SLAMMED23,0x060c6005,0x4baf8200=Shriney Guard boss yelling animation | 0x4a3ea110=Menu door opens to reveal monkey animation | 0x4aee0118=Shriney Guard boss slamming down animation
0x00283063,8,20,5,BOXFRONT,FIREDBELOW,0x6005060c,0x4baf8200=Shriney Guard boss yelling animation | 0x4a3ea110=Menu door opens to reveal monkey animation | 0x4aee0118=Shriney Guard boss slamming down animation
