id_hex,tokenA,tokenB,full,tokA_len,tokB_len
0x00000000,BCD,SWAGER,BCDSWAGER,3,6
0x00000000,BELAST,AMINE,BELASTAMINE,6,5
0x00000000,BRUIN,SHAI,BRUINSHAI,5,4
0x00000000,BRUNE,INHERE,BRUNEINHERE,5,6
0x00000000,BYBLIS,WAWLS,BYBLISWAWLS,6,5
0x00000000,BYNIN,THIN,BYNINTHIN,5,4
0x00000000,DAMNS,ORGIES,DAMNSORGIES,5,6
0x00000000,DORMIE,BRUSH,DORMIEBRUSH,6,5
0x00000000,ENFIRE,GRINS,ENFIREGRINS,6,5
0x00000000,ENIAC,TIEPIN,ENIACTIEPIN,5,6
0x00000000,FLAMB,GRAIAN,FLAMBGRAIAN,5,6
0x00000000,GUIMPE,LAURE,GUIMPELAURE,6,5
0x00000000,GUIMPE,MURES,GUIMPEMURES,6,5
0x00000000,ISIDIA,ALBYN,ISIDIAALBYN,6,5
0x00000000,JIHAD,BRUISE,JIHADBRUISE,5,6
0x00000000,MOMISH,FORGE,MOMISHFORGE,6,5
0x00000000,MOMISH,URGES,MOMISHURGES,6,5
0x00000000,OLEOS,PAROUS,OLEOSPAROUS,5,6
0x00000000,RACOON,YADIM,RACOONYADIM,6,5
0x00000000,REDEED,SWACK,REDEEDSWACK,6,5
0x00000000,REEDED,JACKY,REEDEDJACKY,6,5
0x00000000,REEDEN,AGGUR,REEDENAGGUR,6,5
0x00000000,RINDS,SANCHO,RINDSSANCHO,5,6
0x00000000,SAGEER,EVERY,SAGEEREVERY,6,5
0x00000000,SALE,MIGGS,SALEMIGGS,4,5
0x00000000,SALEM,WRAF,SALEMWRAF,5,4
0x00000000,SANCY,BRICKS,SANCYBRICKS,5,6
0x00000000,SANGH,JAILOR,SANGHJAILOR,5,6
0x00000000,SANG,SIVER,SANGSIVER,4,5
0x00000000,SHADE,DIOSMA,SHADEDIOSMA,5,6
0x00000000,SHADED,IPR,SHADEDIPR,6,3
0x00000000,SHARD,SONGER,SHARDSONGER,5,6
0x00000000,SHAWMS,VISON,SHAWMSVISON,6,5
0x00000000,SHEETY,PREPS,SHEETYPREPS,6,5
0x00000000,SHEIKH,FPS,SHEIKHFPS,6,3
0x00000000,SHEIK,HIMP,SHEIKHIMP,5,4
0x00000000,SHER,SONGS,SHERSONGS,4,5
0x00000000,SHREWD,ODEON,SHREWDODEON,6,5
0x00000000,SNARL,RINSED,SNARLRINSED,5,6
0x00000000,SOCO,GAMIN,SOCOGAMIN,4,5
0x00000000,SOLDI,ETHIDE,SOLDIETHIDE,5,6
0x00000000,SOPS,VETUS,SOPSVETUS,4,5
0x00000000,SOP,WRAXLE,SOPWRAXLE,3,6
0x00000000,SORUS,DEMI,SORUSDEMI,5,4
0x00000000,SORUS,VARVES,SORUSVARVES,5,6
0x00000000,SOUNDS,VEDET,SOUNDSVEDET,6,5
0x00000000,THINK,BRICKY,THINKBRICKY,5,6
0x00000000,WIRED,AWRONG,WIREDAWRONG,5,6
0x00000000,WIRERS,INORG,WIRERSINORG,6,5
0x0005c699,LISTS,CEDENT,LISTSCEDENT,5,6
0x0005c699,LISTS,SLIDER,LISTSSLIDER,5,6
0x0005c699,USSELF,PLIES,USSELFPLIES,6,5
0x000ac607,RIGGER,FROUZY,RIGGERFROUZY,6,6
0x00100125,MEWARD,SAGGER,MEWARDSAGGER,6,6
0x00100125,SHEIKS,UNCLIP,SHEIKSUNCLIP,6,6
0x00100125,TUPIKS,RATTAN,TUPIKSRATTAN,6,6
0x00388110,MESNE,HYAHYA,MESNEHYAHYA,5,6
0x004c9138,BOWESS,REHEAD,BOWESSREHEAD,6,6
0x00c60046,ERRITE,USABLE,ERRITEUSABLE,6,6
0x00c60046,IMPALM,EMETIN,IMPALMEMETIN,6,6
0x00c60046,RETINT,PALMED,RETINTPALMED,6,6
0x00ce0610,REINA,ENTONE,REINAENTONE,5,6
0x00e2f188,BURMAN,UNIOLA,BURMANUNIOLA,6,6
0x00e2f188,ECESIC,NAVELY,ECESICNAVELY,6,6
0x00e2f188,MUCUNA,RELOVE,MUCUNARELOVE,6,6
0x00e2f188,MUSKED,LENDEE,MUSKEDLENDEE,6,6
0x00e2f188,SURRAS,SOCLES,SURRASSOCLES,6,6
0x00e49240,ELBOIC,DHONI,ELBOICDHONI,6,5
0x02098010,BELEFT,CRUIVE,BELEFTCRUIVE,6,6
0x02098010,BELEFT,UNGIVE,BELEFTUNGIVE,6,6
0x02098010,SHADES,EATCHE,SHADESEATCHE,6,6
0x02102152,MODENA,RUGINE,MODENARUGINE,6,6
0x0220a173,FEODUM,BYRON,FEODUMBYRON,6,5
0x0244655d,MOLLS,HOBBIL,MOLLSHOBBIL,5,6
0x0244655d,WELLY,BOBBED,WELLYBOBBED,5,6
0x04041001,BOCCI,SHAMIM,BOCCISHAMIM,5,6
0x04041001,BOCCI,SIMIID,BOCCISIMIID,5,6
0x04041001,BONSER,SWAGE,BONSERSWAGE,6,5
0x04041001,BURRER,JUNTA,BURRERJUNTA,6,5
0x04041001,INDYL,BONSAI,INDYLBONSAI,5,6
0x04041001,SALINE,CRAIG,SALINECRAIG,6,5
0x04041001,SALINE,CRAPY,SALINECRAPY,6,5
0x04041001,SANGH,JACARE,SANGHJACARE,5,6
0x04041001,SHAMIM,COCCI,SHAMIMCOCCI,6,5
0x04041001,SIMIID,COCCI,SIMIIDCOCCI,6,5
0x04041001,TUNDER,JUNTO,TUNDERJUNTO,6,5
0x04041001,TUNISH,AFOAM,TUNISHAFOAM,6,5
0x04084011,ASKANT,VIZARD,ASKANTVIZARD,6,6
0x04084011,BALLAD,COMPED,BALLADCOMPED,6,6
0x04084011,BAUD,CARIYO,BAUDCARIYO,4,6
0x04084011,BOGOTA,CRANTS,BOGOTACRANTS,6,6
0x04084011,BORUCA,CARBON,BORUCACARBON,6,6
0x04084011,BROO,MACUCA,BROOMACUCA,4,6
0x04084011,BRUANG,JARVIE,BRUANGJARVIE,6,6
0x04084011,ESCA,CARSON,ESCACARSON,4,6
0x04084011,EVADES,YAPOCK,EVADESYAPOCK,6,6
0x04084011,KEDGER,MYSELF,KEDGERMYSELF,6,6
0x04084011,MOVIE,MURKY,MOVIEMURKY,5,5
0x04084011,RAAD,GASIFY,RAADGASIFY,4,6
0x04084011,SANITY,DOGIES,SANITYDOGIES,6,6
0x04084011,SANITY,DOURAH,SANITYDOURAH,6,6
0x04084011,SANTEE,VISAED,SANTEEVISAED,6,6
0x04084011,SHAWLS,FAIRLY,SHAWLSFAIRLY,6,6
0x04084011,SOAPED,CARIYO,SOAPEDCARIYO,6,6
0x04084011,SORD,CACARA,SORDCACARA,4,6
0x04084011,TACCA,CARPS,TACCACARPS,5,5
0x04084011,TOUCHY,CARP,TOUCHYCARP,6,4
0x04084011,WHATD,DVIGU,WHATDDVIGU,5,5
0x040a2110,SANTOS,CACAM,SANTOSCACAM,6,5
0x040a2110,SHAFT,INGLES,SHAFTINGLES,5,6
0x040a2110,SIDES,GUNTER,SIDESGUNTER,5,6
0x040a2110,SIFTER,RULES,SIFTERRULES,6,5
0x040a2110,SORBED,NODES,SORBEDNODES,6,5
0x040a2110,SORBIN,NAISH,SORBINNAISH,6,5
0x040a2110,THINE,GAMILY,THINEGAMILY,5,6
0x04835000,BRAKED,HADED,BRAKEDHADED,6,5
0x04835000,BRAKED,HEEDS,BRAKEDHEEDS,6,5
0x04dce858,BINGES,POTTLE,BINGESPOTTLE,6,6
0x04dce858,BUDDAH,SPEILS,BUDDAHSPEILS,6,6
0x04dce858,ERASER,REFILL,ERASERREFILL,6,6
0x04dce858,HUNNIC,RHAPHE,HUNNICRHAPHE,6,6
0x04dce858,PRIMA,FIXER,PRIMAFIXER,5,5
0x04dce858,PRIMAL,COHORN,PRIMALCOHORN,6,6
0x04dce858,PRIMAS,THONGS,PRIMASTHONGS,6,6
0x04dce858,PRONIC,MALLOW,PRONICMALLOW,6,6
0x06e0a824,BEWRY,AVENGE,BEWRYAVENGE,5,6
0x08041001,LOWERS,PEBAN,LOWERSPEBAN,6,5
0x08041001,PROBIT,BERRY,PROBITBERRY,6,5
0x08041001,REDARE,AUETO,REDAREAUETO,6,5
0x08041001,REEFY,GOBANG,REEFYGOBANG,5,6
0x08041001,SAGA,FOXIE,SAGAFOXIE,4,5
0x08041001,SANGHA,SWIRD,SANGHASWIRD,6,5
0x08041001,SANGH,JEREED,SANGHJEREED,5,6
0x08041001,SANTA,RIDEAU,SANTARIDEAU,5,6
