# Function List for Skullmonkeys (SLES-01090)
# Auto-generated by Ghidra script
#
# Format: address | size | module | submodule | name
#

0x800131F0 |    16 | Game/RENDER     | -               | GetFrameReadyFlag
0x80013200 |    64 | Game/RENDER     | -               | TriggerBufferSwapIfReady
0x80013244 |     4 | Game/RENDER     | -               | SetVideoModePAL
0x80013248 |    32 | Game/RENDER     | -               | SsUtReverbOn
0x80013268 |   552 | Game/RENDER     | graphics        | InitGraphicsSystem
0x80013490 |    40 | Game/RENDER     | -               | ConditionalFreeMemory
0x800134B8 |    72 | Game/RENDER     | -               | ClearOrderingTables
0x80013500 |    44 | Game/RENDER     | -               | FlushDebugFontAndEndFrame
0x8001352C |    40 | Game/RENDER     | -               | WaitForVBlankIfNeeded
0x80013554 |   372 | Game/RENDER     | -               | SwapBuffersAndClearOT
0x800136C8 |    80 | Game/RENDER     | -               | AllocPrimSlot_0x14
0x80013718 |    72 | Game/RENDER     | -               | AllocPrimSlot_0x08
0x80013760 |    80 | Game/RENDER     | -               | AllocPrimSlot_0x28
0x800137B0 |    80 | Game/RENDER     | -               | AllocPrimSlot_0x14_Alt
0x80013800 |    80 | Game/RENDER     | -               | AllocPrimSlot_0x18
0x80013850 |    80 | Game/RENDER     | -               | AllocPrimSlot_0x1C
0x800138A0 |    80 | Game/RENDER     | -               | AllocPrimSlot_0x20
0x800138F0 |   448 | Game/RENDER     | vram            | AllocateVRAMSlot
0x80013AB0 |   108 | Game/RENDER     | vram            | FreeVRAMSlot
0x80013B1C |   500 | Game/RENDER     | vram            | InitVRAMSlotTable
0x80013D10 |   576 | Game/RENDER     | palette         | AllocateCLUTSlot
0x80013F50 |   484 | Game/RENDER     | palette         | FreeCLUTSlot
0x80014134 |   324 | Game/RENDER     | vram            | ProcessPendingVRAMSlotFrees
0x80014278 |   300 | Game/RENDER     | vram            | CalculateVRAMCoordinates
0x800143A4 |    76 | Game/RENDER     | heap            | InitHeapConfig
0x800143F0 |   436 | Game/RENDER     | heap            | AllocateFromHeap
0x800145A4 |   688 | Game/RENDER     | heap            | FreeFromHeap
0x80014854 |   212 | Game/RENDER     | heap            | InitHeapFreeList
0x80014968 |   128 | Game/RENDER     | heap            | ClearHeapBlocks
