id_hex,id_dec,kinds,popcount,n_builds,beta,demo_eu,demo_jp,pal_d1,pal_d2,pal_d3,jp,us
0x0005c699,378521,sprite|anim,10,5,1,0,0,1,1,1,0,1
0x000ac607,706055,sprite|anim,9,8,1,1,1,1,1,1,1,1
0x000cc8f8,837880,sprite|anim,10,8,1,1,1,1,1,1,1,1
0x001822d8,1581784,audio,8,8,1,1,1,1,1,1,1,1
0x001882e0,1606368,audio,7,8,1,1,1,1,1,1,1,1
0x00248e52,2395730,audio,9,8,1,1,1,1,1,1,1,1
0x002e2414,3023892,sprite|anim,8,6,1,0,0,1,1,1,1,1
0x00388110,3703056,sprite|anim,6,8,1,1,1,1,1,1,1,1
0x004a981c,4888604,sprite|anim,9,8,1,1,1,1,1,1,1,1
0x004c9138,5017912,sprite|anim,9,6,1,0,0,1,1,1,1,1
0x006b9a6f,7051887,sprite|anim,15,8,1,1,1,1,1,1,1,1
0x00880c1e,8915998,audio,8,8,1,1,1,1,1,1,1,1
0x00ce0610,13501968,sprite|anim,8,8,1,1,1,1,1,1,1,1
0x00e2f188,14872968,sprite|anim,11,8,1,1,1,1,1,1,1,1
0x00e49240,14979648,audio,8,8,1,1,1,1,1,1,1,1
0x0120e27a,18932346,audio,11,6,1,0,0,1,1,1,1,1
0x012484d2,19170514,audio,9,6,1,0,0,1,1,1,1,1
0x01680261,23593569,audio,8,6,1,0,0,1,1,1,1,1
0x01a5b0d3,27635923,audio,13,8,1,1,1,1,1,1,1,1
0x02098010,34177040,sprite|anim,5,8,1,1,1,1,1,1,1,1
0x02102152,34611538,audio,7,8,1,1,1,1,1,1,1,1
0x0220a173,35692915,audio,10,6,1,0,0,1,1,1,1,1
0x022e3442,36582466,sprite|anim,10,6,1,0,0,1,1,1,1,1
0x0239cb33,37342003,sprite|anim,14,6,1,0,0,1,1,1,1,1
0x0244655d,38036829,sprite|anim,12,6,1,0,0,1,1,1,1,1
0x024d704e,38629454,sprite|anim,12,6,1,0,0,1,1,1,1,1
0x024e981c,38705180,sprite|anim,11,8,1,1,1,1,1,1,1,1
0x02804e67,41963111,sprite|anim,11,6,1,0,0,1,1,1,1,1
0x02841e65,42212965,sprite|anim,11,6,1,0,0,1,1,1,1,1
0x02847462,42234978,audio,10,8,1,1,1,1,1,1,1,1
0x02a10c60,44108896,sprite|anim,8,6,1,0,0,1,1,1,1,1
0x02a48626,44336678,audio,10,8,1,1,1,1,1,1,1,1
0x02c00e64,46141028,sprite|anim,9,6,1,0,0,1,1,1,1,1
0x02e900c0,48824512,audio,8,5,1,0,0,1,1,1,0,1
0x02ed1470,49091696,sprite|anim,12,6,1,0,0,1,1,1,1,1
0x0305a4f5,50701557,sprite|anim,13,5,1,0,0,1,1,1,0,1
0x03ecb851,65845329,audio,14,8,1,1,1,1,1,1,1,1
0x04041001,67375105,audio,4,6,1,0,0,1,1,1,1,1
